year,average,sd
1961,0.25,1.07
1962,-0.03,0.8
1963,0.08,0.79
1964,0.34,0.9
1965,0.09,0.73
1966,-0.27,1.04
1967,-0.23,0.9
1968,-0.16,1.08
1969,-0.47,0.76
1970,-0.83,1.36
1971,-0.06,0.98
1972,0.3,0.88
1973,-0.18,0.85
1974,-0.16,1.15
1975,-0.1,0.7
1976,-0.32,0.98
1977,0.09,0.83
1978,0.29,1.12
1979,-0.09,0.81
1980,-0.05,0.96
1981,0.03,0.98
1982,0.13,1.05
1983,0.15,0.91
1984,-0.15,0.72
1985,0.5,0.97
1986,-0.03,0.86
1987,-0.09,1.1
1988,0.56,0.85
1989,0.21,0.97
1990,0.19,0.84
1991,0.34,0.46
1992,0.25,0.65
1993,0.42,0.87
1994,0.21,0.96
1995,0.17,1.11
1996,0.18,0.9
1997,0.26,0.93
1998,0.65,0.65
1999,1.12,0.6
2000,0.81,0.81
2001,0.51,1.03
2002,0.62,0.76
2003,0.7,0.86
2004,0.87,1.04
2005,1.06,1.25
2006,0.97,0.75
2007,1.08,0.81
2008,0.87,1.03
2009,0.9,0.86
2010,0.93,0.85
2011,1.27,0.84
2012,0.91,0.84
2013,1.01,0.76
2014,1.58,0.61
2015,1.61,0.88
2016,1.13,1.1
2017,1.27,1.09
2018,1.26,1.18
2019,1.44,0.8
2020,1.54,1.06
2021,1.57,0.87
2022,1.22,0.89
2023,1.56,0.45
2024,1.87,1.08
2025,1.46,0.95
2026,1.41,0.69
2027,0.98,0.66
2028,1.99,0.58
2029,1.89,0.66
2030,1.59,0.82
2031,1.79,1.23
2032,1.94,0.67
2033,1.7,0.8
2034,2.35,0.65
2035,1.9,0.99
2036,1.26,0.93
2037,1.73,0.89
2038,2.09,0.8
2039,2.17,0.58
2040,2.53,0.6
2041,2.68,0.55
2042,2.57,0.59
2043,2.38,0.92
2044,1.85,0.93
2045,2.24,0.82
2046,2.52,1.19
2047,2.18,0.56
2048,1.88,0.78
2049,2.52,0.48
2050,2.46,0.83
2051,2.83,1.01
2052,2.9,0.9
2053,2.83,0.48
2054,3.07,0.76
2055,3.31,0.94
2056,2.78,0.72
2057,3.16,0.8
2058,2.96,0.73
2059,2.82,0.96
2060,3.05,0.77
2061,3.24,0.73
2062,3.58,1
2063,3.66,0.58
2064,3.84,0.96
2065,3.44,0.92
2066,3.54,0.81
2067,3.32,1.14
2068,3.68,0.57
2069,3.47,0.82
2070,3.51,0.63
2071,3.73,1.03
2072,4.32,0.46
2073,4.09,0.83
2074,3.78,0.87
2075,4.02,0.78
2076,4.09,0.92
2077,3.9,1.11
2078,4.23,0.69
2079,4.08,0.95
2080,4.2,0.89
2081,4.5,0.92
2082,4.57,0.57
2083,4.62,0.56
2084,4.67,0.68
2085,4.75,0.37
2086,4.79,0.71
2087,4.64,1.14
2088,4.8,0.51
2089,4.47,0.84
2090,4.45,0.94
2091,5.15,0.63
2092,5.32,0.73
2093,4.92,1.02
2094,4.78,0.97
2095,4.77,1.14
2096,4.99,0.87
2097,5.19,1.03
2098,5.23,0.87
2099,5.15,1.08
2100,5.20,1.13
