Decile ID,Decile,Good ID,Good,Expenditures,Expenditures -- margin of error,Share,Share of margin of error,Calculated population size,Average number of persons,Average number of consumer units
D1,decil 1,r001,total expenditures,146750,23100,100.0,0.0,309830,1.1,1.07
,,r002,food,17970,2470,14.7,2.0,309830,1.1,1.07
,,r003,bread and cereals,3320,620,2.8,0.6,309830,1.1,1.07
,,r004,rice and products of rice -- of which:,140,70,..,..,309830,1.1,1.07
,,r005,rice,80,60,..,..,309830,1.1,1.07
,,r006,products of rice,60,50,..,..,309830,1.1,1.07
,,r007,pasta products,460,320,0.5,0.3,309830,1.1,1.07
,,r008,flour -- grain,410,130,0.4,0.1,309830,1.1,1.07
,,r009,bread -- of which:,1350,270,1.1,0.3,309830,1.1,1.07
,,r010,hard bread,220,70,0.2,0.1,309830,1.1,1.07
,,r011,soft white bread,220,80,0.2,0.1,309830,1.1,1.07
,,r012,soft brown bread,240,100,0.2,0.1,309830,1.1,1.07
,,r013,soft light bread,290,100,0.2,0.1,309830,1.1,1.07
,,r014,bread unspecified,370,190,0.3,0.2,309830,1.1,1.07
,,r015,pastry-cook products,960,330,0.8,0.3,309830,1.1,1.07
,,r016,meat,2940,610,2.4,0.5,309830,1.1,1.07
,,r017,fresh -- chilled or frozen meat of bovine animals,300,160,0.2,0.1,309830,1.1,1.07
,,r018,fresh -- chilled or frozen meat of pig,660,240,0.5,0.2,309830,1.1,1.07
,,r019,fresh -- chilled or frozen meat of sheep and goat,60,50,..,..,309830,1.1,1.07
,,r020,fresh -- chilled or frozen meat of poultry,240,100,0.2,0.1,309830,1.1,1.07
,,r021,dried -- salted or smoked meat and edible meat offal,..,..,..,..,309830,1.1,1.07
,,r022,dried -- salted or smoked meat of pig,600,200,0.5,0.2,309830,1.1,1.07
,,r023,dried -- salted or smoked other meats,140,70,..,..,309830,1.1,1.07
,,r024,meat -- sausages and meat of sandwiches,430,170,0.4,0.2,309830,1.1,1.07
,,r025,pastry -- cured meats and provisions,170,90,..,..,309830,1.1,1.07
,,r026,meatdishes,130,90,..,..,309830,1.1,1.07
,,r027,meat - unspecified,..,..,..,..,309830,1.1,1.07
,,r028,fish,890,240,0.7,0.2,309830,1.1,1.07
,,r029,fresh -- chilled or frozen fish -- of which:,490,170,0.4,0.1,309830,1.1,1.07
,,r030,codfish,90,50,..,..,309830,1.1,1.07
,,r031,salomonfish,170,120,..,..,309830,1.1,1.07
,,r032,herring,70,40,..,..,309830,1.1,1.07
,,r033,other fish,140,70,..,..,309830,1.1,1.07
,,r034,seafood,..,..,..,..,309830,1.1,1.07
,,r035,caviar -- roes -- other fishproducts,70,50,..,..,309830,1.1,1.07
,,r036,fish and seafood dishes,320,110,0.2,0.1,309830,1.1,1.07
,,r037,fish and seafood - unspecified,..,..,..,..,309830,1.1,1.07
,,r038,milk -- cheese and eggs,2840,500,2.3,0.4,309830,1.1,1.07
,,r039,milk (fat >=1 --5%),200,70,..,..,309830,1.1,1.07
,,r040,low fat milk (fat <1 --5%),450,130,0.3,0.1,309830,1.1,1.07
,,r041,preserved milk,..,..,..,..,309830,1.1,1.07
,,r042,yoghurt and sour milk,410,120,0.4,0.1,309830,1.1,1.07
,,r043,cream -- sour cream (fat>=29%),190,90,..,..,309830,1.1,1.07
,,r044,cream -- sour cream (fat<29%),120,50,..,..,309830,1.1,1.07
,,r045,cheese (fat >=17%),590,210,0.5,0.3,309830,1.1,1.07
,,r046,cheese (fat <17%),580,190,0.4,0.1,309830,1.1,1.07
,,r047,eggs,280,90,0.2,0.1,309830,1.1,1.07
,,r048,milk -- cheese -- eggs - ospec,..,..,..,..,309830,1.1,1.07
,,r049,oils and fats,720,180,0.6,0.2,309830,1.1,1.07
,,r050,butter,320,90,0.2,0.1,309830,1.1,1.07
,,r051,margarine (fat>=40%),160,70,..,..,309830,1.1,1.07
,,r052,margarine (fat<40%),70,30,..,..,309830,1.1,1.07
,,r053,olive oil -- cooking oil -- mayonnaise,170,90,0.2,0.1,309830,1.1,1.07
,,r054,fruit and berries,1540,360,1.3,0.3,309830,1.1,1.07
,,r055,apples,200,70,0.2,0.1,309830,1.1,1.07
,,r056,pears,..,..,..,..,309830,1.1,1.07
,,r057,bananas,260,80,0.2,0.1,309830,1.1,1.07
,,r058,citrus fruits,200,90,0.2,0.1,309830,1.1,1.07
,,r059,other fresh fruit,170,110,..,..,309830,1.1,1.07
,,r060,dried fruit,350,150,0.3,0.2,309830,1.1,1.07
,,r061,berries,170,60,..,..,309830,1.1,1.07
,,r062,preserved fruit and fruit based products,..,..,..,..,309830,1.1,1.07
,,r063,others fruit and berries,..,..,..,..,309830,1.1,1.07
,,r064,vegetables,2260,490,1.9,0.5,309830,1.1,1.07
,,r065,leaf and stem vegetables,230,110,0.2,0.1,309830,1.1,1.07
,,r066,cabbages -- fresh,80,40,..,..,309830,1.1,1.07
,,r067,vegetables cultivated for their fruit -- fresh ,610,200,0.5,0.2,309830,1.1,1.07
,,r068,onion -- leek -- fresh,120,50,..,..,309830,1.1,1.07
,,r069,mashrooms -- fresh,..,..,..,..,309830,1.1,1.07
,,r070,soups -- vegetabledishes,410,170,0.4,0.2,309830,1.1,1.07
,,r071,root crops,100,30,..,..,309830,1.1,1.07
,,r072,potatoes,290,80,0.2,0.1,309830,1.1,1.07
,,r073,products of potatoes (french fries -- mashed potatoes),260,90,0.2,0.1,309830,1.1,1.07
,,r074,vegetables - unspecified,..,..,..,..,309830,1.1,1.07
,,r075,sugar and sweets,1540,390,1.3,0.4,309830,1.1,1.07
,,r076,sugar -- jam -- honey -- chocolate and confectionery,140,80,..,..,309830,1.1,1.07
,,r077,jams -- marmelade,100,50,..,..,309830,1.1,1.07
,,r078,ice cream,300,200,0.3,0.2,309830,1.1,1.07
,,r079,other suger products,1000,290,0.8,0.3,309830,1.1,1.07
,,r080,sauces -- condiments,230,100,0.2,0.1,309830,1.1,1.07
,,r081,salt -- spices and culinary herbs,280,120,0.2,0.1,309830,1.1,1.07
,,r082,baby food -- dietary preparations -- baker´s yeast and other food preparations,190,80,0.2,0.1,309830,1.1,1.07
,,r083,snacks,150,90,..,..,309830,1.1,1.07
,,r084,unspec provisions,..,..,..,..,309830,1.1,1.07
,,r085,non alcoholic beverages,1290,260,1.2,0.3,309830,1.1,1.07
,,r086,fruit- and vegetable juices,240,90,0.2,0.1,309830,1.1,1.07
,,r087,soft drinks,390,150,0.4,0.2,309830,1.1,1.07
,,r088,mineral or spring waters,140,70,..,..,309830,1.1,1.07
,,r089,coffee,460,180,0.4,0.2,309830,1.1,1.07
