Decile ID,Decile,Good ID,Good,Expenditures,Expenditures -- margin of error,Share,Share of margin of error,Calculated population size,Average number of persons,Average number of consumer units
,,r090,tee,40,20,..,..,309830,1.1,1.07
,,r091,cacao,..,..,..,..,309830,1.1,1.07
,,r092,dinner out,6380,3420,4.9,2.0,309830,1.1,1.07
,,r093,alcoholic beverages (with low-strength beer),1920,1200,1.2,0.6,309830,1.1,1.07
,,r094,tobacco ,750,530,0.6,0.3,309830,1.1,1.07
,,r095,consumer goods,2130,550,1.7,0.4,309830,1.1,1.07
,,r096,personal hygiene,980,420,0.8,0.3,309830,1.1,1.07
,,r097,other consumption purposes,1150,290,0.9,0.2,309830,1.1,1.07
,,r098,domestic services,2550,1350,2.0,1.1,309830,1.1,1.07
,,r099,childminding,..,..,..,..,309830,1.1,1.07
,,r100,charge of skill -- other insurance,700,550,..,..,309830,1.1,1.07
,,r101,other services,1790,1240,1.5,1.0,309830,1.1,1.07
,,r102,clothing and footwear,8180,3580,5.3,2.5,309830,1.1,1.07
,,r103,clothing,4850,2100,3.1,1.3,309830,1.1,1.07
,,r104, outdoor clothes,1470,1080,0.8,0.7,309830,1.1,1.07
,,r105,other clothes,2040,1410,1.2,0.7,309830,1.1,1.07
,,r106,underwear,730,480,0.6,0.4,309830,1.1,1.07
,,r107,accessoarer -- hats -- caps -- gloves etc.,370,360,..,..,309830,1.1,1.07
,,r108,footwear,3340,2570,2.3,2.0,309830,1.1,1.07
,,r109,housing,42900,4670,34.5,5.0,309830,1.1,1.07
,,r110,actual rentals for housing (incl. garage),27080,3800,24.1,4.7,309830,1.1,1.07
,,r111,reparations,2490,2240,1.6,1.3,309830,1.1,1.07
,,r112,householder´s comprehensive insurance,1170,240,0.9,0.2,309830,1.1,1.07
,,r113,services associates with housing ,2210,990,1.6,0.8,309830,1.1,1.07
,,r114,electicity -- gas and other fuels ,4790,1260,3.5,1.0,309830,1.1,1.07
,,r115,interests (gross),3680,1930,1.7,0.9,309830,1.1,1.07
,,r116,furnishings -- household equipment and routine maintenance of the house,5070,1940,3.0,1.0,309830,1.1,1.07
,,r117,furniture and furnishings -- carpets and other floor coverings,1880,880,1.1,0.5,309830,1.1,1.07
,,r118,textile,420,350,0.3,0.2,309830,1.1,1.07
,,r119,household applience,2760,1170,1.7,0.6,309830,1.1,1.07
,,r120,health and hospital services,5320,3670,3.6,2.2,309830,1.1,1.07
,,r121,transport,25920,17690,7.5,6.3,309830,1.1,1.07
,,r122,purchase of new motor-cars,..,..,-1.3,7.1,309830,1.1,1.07
,,r123,purchase of other vehicles,..,..,..,..,309830,1.1,1.07
,,r124,operation of motor-cars,8600,7180,4.4,2.7,309830,1.1,1.07
,,r125,interests (motorcars - gross) -- licence duty,590,200,0.4,0.2,309830,1.1,1.07
,,r126,operation of other vehicles,..,..,..,..,309830,1.1,1.07
,,r127,interests (other vehicles - gross) -- licence duty (other vehicles),..,..,..,..,309830,1.1,1.07
,,r128,services of transport,2800,910,2.5,1.1,309830,1.1,1.07
,,r129,leisure time and culture,25310,4460,19.1,2.8,309830,1.1,1.07
,,r130,weekend cottage,630,500,..,..,309830,1.1,1.07
,,r131,radio and tv,2220,1320,1.3,0.8,309830,1.1,1.07
,,r132,sport and hobby,2630,2330,1.6,1.2,309830,1.1,1.07
,,r133,watch -- camera -- photographic and cinematographic equipment,670,430,0.4,0.2,309830,1.1,1.07
,,r134,holidays -- hotels,6060,2370,4.7,1.8,309830,1.1,1.07
,,r135,other spare time,3080,950,2.1,0.7,309830,1.1,1.07
,,r136,entertainment,400,240,0.3,0.2,309830,1.1,1.07
,,r137,books -- newspapers -- television taxes,5620,1430,4.4,1.2,309830,1.1,1.07
,,r138,mobiltelephone (callcharge and subscription fee),1660,600,2.1,1.4,309830,1.1,1.07
,,r139,telephone (callcharge and subscription fee),2340,500,2.0,0.5,309830,1.1,1.07
D2,decil 2,r001,total expenditures,146870,11260,100.0,0.0,405450,1.2,1.10
,,r002,food,17320,1950,12.7,1.5,405450,1.2,1.10
,,r003,bread and cereals,3070,420,2.3,0.3,405450,1.2,1.10
,,r004,rice and products of rice -- of which:,140,70,..,..,405450,1.2,1.10
,,r005,rice,..,..,..,..,405450,1.2,1.10
,,r006,products of rice,90,60,..,..,405450,1.2,1.10
,,r007,pasta products,220,70,0.2,0.1,405450,1.2,1.10
,,r008,flour -- grain,350,130,0.3,0.1,405450,1.2,1.10
,,r009,bread -- of which:,1290,170,0.9,0.1,405450,1.2,1.10
,,r010,hard bread,180,60,..,..,405450,1.2,1.10
,,r011,soft white bread,230,80,0.2,0.1,405450,1.2,1.10
,,r012,soft brown bread,270,80,0.2,0.1,405450,1.2,1.10
,,r013,soft light bread,300,80,0.2,0.1,405450,1.2,1.10
,,r014,bread unspecified,310,90,0.2,0.1,405450,1.2,1.10
,,r015,pastry-cook products,1070,260,0.8,0.2,405450,1.2,1.10
,,r016,meat,3420,630,2.5,0.5,405450,1.2,1.10
,,r017,fresh -- chilled or frozen meat of bovine animals,280,130,0.2,0.1,405450,1.2,1.10
,,r018,fresh -- chilled or frozen meat of pig,580,210,0.4,0.1,405450,1.2,1.10
,,r019,fresh -- chilled or frozen meat of sheep and goat,150,120,..,..,405450,1.2,1.10
,,r020,fresh -- chilled or frozen meat of poultry,320,170,0.2,0.1,405450,1.2,1.10
,,r021,dried -- salted or smoked meat and edible meat offal,..,..,..,..,405450,1.2,1.10
,,r022,dried -- salted or smoked meat of pig,810,220,0.6,0.2,405450,1.2,1.10
,,r023,dried -- salted or smoked other meats,90,50,..,..,405450,1.2,1.10
,,r024,meat -- sausages and meat of sandwiches,500,130,0.4,0.1,405450,1.2,1.10
,,r025,pastry -- cured meats and provisions,230,80,0.2,0.1,405450,1.2,1.10
,,r026,meatdishes,280,150,0.2,0.1,405450,1.2,1.10
,,r027,meat - unspecified,..,..,..,..,405450,1.2,1.10
,,r028,fish,1060,290,0.7,0.2,405450,1.2,1.10
,,r029,fresh -- chilled or frozen fish -- of which:,460,180,0.3,0.1,405450,1.2,1.10
,,r030,codfish,90,60,..,..,405450,1.2,1.10
,,r031,salomonfish,270,160,0.2,0.1,405450,1.2,1.10
,,r032,herring,..,..,..,..,405450,1.2,1.10
,,r033,other fish,..,..,..,..,405450,1.2,1.10
,,r034,seafood,160,110,..,..,405450,1.2,1.10
,,r035,caviar -- roes -- other fishproducts,100,70,..,..,405450,1.2,1.10
,,r036,fish and seafood dishes,350,130,0.2,0.1,405450,1.2,1.10
,,r037,fish and seafood - unspecified,..,..,..,..,405450,1.2,1.10
,,r038,milk -- cheese and eggs,2560,320,1.9,0.3,405450,1.2,1.10
,,r039,milk (fat >=1 --5%),200,80,0.2,0.1,405450,1.2,1.10
,,r040,low fat milk (fat <1 --5%),380,90,0.3,0.1,405450,1.2,1.10
,,r041,preserved milk,..,..,..,..,405450,1.2,1.10
,,r042,yoghurt and sour milk,520,110,0.4,0.1,405450,1.2,1.10
,,r043,cream -- sour cream (fat>=29%),130,40,..,..,405450,1.2,1.10
,,r044,cream -- sour cream (fat<29%),180,50,..,..,405450,1.2,1.10
,,r045,cheese (fat >=17%),640,160,0.5,0.2,405450,1.2,1.10
,,r046,cheese (fat <17%),250,90,0.2,0.1,405450,1.2,1.10
,,r047,eggs,260,70,..,..,405450,1.2,1.10
,,r048,milk -- cheese -- eggs - ospec,..,..,..,..,405450,1.2,1.10
,,r049,oils and fats,570,160,0.4,0.1,405450,1.2,1.10
,,r050,butter,200,70,..,..,405450,1.2,1.10
,,r051,margarine (fat>=40%),130,60,..,..,405450,1.2,1.10
,,r052,margarine (fat<40%),130,70,..,..,405450,1.2,1.10
,,r053,olive oil -- cooking oil -- mayonnaise,120,50,..,..,405450,1.2,1.10
,,r054,fruit and berries,1650,330,1.2,0.2,405450,1.2,1.10
,,r055,apples,200,60,..,..,405450,1.2,1.10
,,r056,pears,70,30,..,..,405450,1.2,1.10
,,r057,bananas,300,80,0.2,0.1,405450,1.2,1.10
,,r058,citrus fruits,290,90,0.2,0.1,405450,1.2,1.10
,,r059,other fresh fruit,170,60,..,..,405450,1.2,1.10
,,r060,dried fruit,350,150,0.3,0.1,405450,1.2,1.10
,,r061,berries,190,90,..,..,405450,1.2,1.10
,,r062,preserved fruit and fruit based products,40,20,..,..,405450,1.2,1.10
,,r063,others fruit and berries,50,20,..,..,405450,1.2,1.10
,,r064,vegetables,1850,330,1.3,0.2,405450,1.2,1.10
,,r065,leaf and stem vegetables,160,60,..,..,405450,1.2,1.10
,,r066,cabbages -- fresh,90,40,..,..,405450,1.2,1.10
,,r067,vegetables cultivated for their fruit -- fresh ,540,120,0.4,0.1,405450,1.2,1.10
,,r068,onion -- leek -- fresh,120,40,..,..,405450,1.2,1.10
,,r069,mashrooms -- fresh,..,..,..,..,405450,1.2,1.10
,,r070,soups -- vegetabledishes,300,110,0.2,0.1,405450,1.2,1.10
,,r071,root crops,130,40,..,..,405450,1.2,1.10
,,r072,potatoes,230,60,..,..,405450,1.2,1.10
,,r073,products of potatoes (french fries -- mashed potatoes),230,80,0.2,0.1,405450,1.2,1.10
,,r074,vegetables - unspecified,..,..,..,..,405450,1.2,1.10
,,r075,sugar and sweets,1940,360,1.4,0.3,405450,1.2,1.10
,,r076,sugar -- jam -- honey -- chocolate and confectionery,130,50,..,..,405450,1.2,1.10
,,r077,jams -- marmelade,70,40,..,..,405450,1.2,1.10
,,r078,ice cream,330,140,0.2,0.1,405450,1.2,1.10
,,r079,other suger products,1400,320,1.0,0.2,405450,1.2,1.10
,,r080,sauces -- condiments,290,100,0.2,0.1,405450,1.2,1.10
,,r081,salt -- spices and culinary herbs,120,40,..,..,405450,1.2,1.10
,,r082,baby food -- dietary preparations -- baker´s yeast and other food preparations,170,60,..,..,405450,1.2,1.10
,,r083,snacks,260,120,0.2,0.1,405450,1.2,1.10
,,r084,unspec provisions,340,300,..,..,405450,1.2,1.10
,,r085,non alcoholic beverages,1470,260,1.1,0.2,405450,1.2,1.10
,,r086,fruit- and vegetable juices,220,80,..,..,405450,1.2,1.10
,,r087,soft drinks,610,150,0.4,0.1,405450,1.2,1.10
,,r088,mineral or spring waters,140,60,..,..,405450,1.2,1.10
,,r089,coffee,410,140,0.3,0.1,405450,1.2,1.10
,,r090,tee,80,40,..,..,405450,1.2,1.10
,,r091,cacao,..,..,..,..,405450,1.2,1.10
,,r092,dinner out,4430,1600,2.9,1.0,405450,1.2,1.10
,,r093,alcoholic beverages (with low-strength beer),1740,980,1.2,0.7,405450,1.2,1.10
,,r094,tobacco ,2080,870,1.5,0.7,405450,1.2,1.10
,,r095,consumer goods,3060,680,2.1,0.4,405450,1.2,1.10
,,r096,personal hygiene,1710,570,1.1,0.3,405450,1.2,1.10
,,r097,other consumption purposes,1350,290,1.0,0.2,405450,1.2,1.10
,,r098,domestic services,4320,1970,2.6,0.8,405450,1.2,1.10
,,r099,childminding,150,130,..,..,405450,1.2,1.10
,,r100,charge of skill -- other insurance,790,390,0.6,0.3,405450,1.2,1.10
,,r101,other services,3380,1840,1.9,0.7,405450,1.2,1.10
,,r102,clothing and footwear,10340,3900,6.2,2.0,405450,1.2,1.10
,,r103,clothing,8810,3760,5.1,1.8,405450,1.2,1.10
,,r104, outdoor clothes,4000,3250,2.1,1.5,405450,1.2,1.10
,,r105,other clothes,3610,1680,2.2,1.0,405450,1.2,1.10
,,r106,underwear,770,360,0.5,0.3,405450,1.2,1.10
,,r107,accessoarer -- hats -- caps -- gloves etc.,270,210,0.2,0.1,405450,1.2,1.10
,,r108,footwear,1500,1020,1.1,0.8,405450,1.2,1.10
,,r109,housing,52110,3420,39.1,2.6,405450,1.2,1.10
,,r110,actual rentals for housing (incl. garage),39740,4320,30.2,3.6,405450,1.2,1.10
,,r111,reparations,560,410,0.4,0.3,405450,1.2,1.10
,,r112,householder´s comprehensive insurance,1310,320,1.0,0.2,405450,1.2,1.10
,,r113,services associates with housing ,1470,780,1.1,0.6,405450,1.2,1.10
,,r114,electicity -- gas and other fuels ,4780,1440,3.4,0.9,405450,1.2,1.10
,,r115,interests (gross),1720,920,1.2,0.8,405450,1.2,1.10
,,r116,furnishings -- household equipment and routine maintenance of the house,4770,1330,2.9,0.8,405450,1.2,1.10
,,r117,furniture and furnishings -- carpets and other floor coverings,1920,730,1.1,0.4,405450,1.2,1.10
,,r118,textile,380,270,..,..,405450,1.2,1.10
,,r119,household applience,2470,900,1.6,0.6,405450,1.2,1.10
,,r120,health and hospital services,4400,3000,2.4,1.1,405450,1.2,1.10
,,r121,transport,17220,6030,9.9,2.5,405450,1.2,1.10
,,r122,purchase of new motor-cars,..,..,1.4,1.2,405450,1.2,1.10
,,r123,purchase of other vehicles,..,..,..,..,405450,1.2,1.10
,,r124,operation of motor-cars,9930,4170,5.9,1.9,405450,1.2,1.10
,,r125,interests (motorcars - gross) -- licence duty,670,210,0.5,0.1,405450,1.2,1.10
,,r126,operation of other vehicles,..,..,..,..,405450,1.2,1.10
,,r127,interests (other vehicles - gross) -- licence duty (other vehicles),..,..,..,..,405450,1.2,1.10
,,r128,services of transport,2560,970,1.9,0.7,405450,1.2,1.10
,,r129,leisure time and culture,22020,2680,15.0,1.5,405450,1.2,1.10
,,r130,weekend cottage,..,..,..,..,405450,1.2,1.10
,,r131,radio and tv,1330,420,0.9,0.3,405450,1.2,1.10
,,r132,sport and hobby,1080,480,0.7,0.3,405450,1.2,1.10
,,r133,watch -- camera -- photographic and cinematographic equipment,860,580,0.7,0.5,405450,1.2,1.10
,,r134,holidays -- hotels,4030,1390,2.5,0.8,405450,1.2,1.10
,,r135,other spare time,4360,1280,2.6,0.7,405450,1.2,1.10
,,r136,entertainment,500,270,0.4,0.2,405450,1.2,1.10
,,r137,books -- newspapers -- television taxes,5210,880,3.9,0.7,405450,1.2,1.10
,,r138,mobiltelephone (callcharge and subscription fee),1490,480,1.0,0.3,405450,1.2,1.10
,,r139,telephone (callcharge and subscription fee),2490,350,1.9,0.3,405450,1.2,1.10
D3,decil 3,r001,total expenditures,157860,11440,100.0,0.0,407470,1.4,1.22
,,r002,food,19610,2040,13.0,1.3,407470,1.4,1.22
,,r003,bread and cereals,3230,440,2.3,0.3,407470,1.4,1.22
,,r004,rice and products of rice -- of which:,110,50,..,..,407470,1.4,1.22
,,r005,rice,60,40,..,..,407470,1.4,1.22
,,r006,products of rice,50,30,..,..,407470,1.4,1.22
,,r007,pasta products,210,70,..,..,407470,1.4,1.22
,,r008,flour -- grain,320,90,0.2,0.1,407470,1.4,1.22
,,r009,bread -- of which:,1490,200,1.0,0.2,407470,1.4,1.22
,,r010,hard bread,220,70,..,..,407470,1.4,1.22
,,r011,soft white bread,290,80,0.2,0.1,407470,1.4,1.22
,,r012,soft brown bread,300,90,0.2,0.1,407470,1.4,1.22
,,r013,soft light bread,390,100,0.3,0.1,407470,1.4,1.22
,,r014,bread unspecified,290,100,0.2,0.1,407470,1.4,1.22
,,r015,pastry-cook products,1100,300,0.8,0.3,407470,1.4,1.22
,,r016,meat,3370,520,2.2,0.3,407470,1.4,1.22
,,r017,fresh -- chilled or frozen meat of bovine animals,450,190,0.3,0.1,407470,1.4,1.22
,,r018,fresh -- chilled or frozen meat of pig,550,140,0.4,0.1,407470,1.4,1.22
,,r019,fresh -- chilled or frozen meat of sheep and goat,30,20,..,..,407470,1.4,1.22
,,r020,fresh -- chilled or frozen meat of poultry,250,110,..,..,407470,1.4,1.22
,,r021,dried -- salted or smoked meat and edible meat offal,..,..,..,..,407470,1.4,1.22
,,r022,dried -- salted or smoked meat of pig,830,180,0.6,0.1,407470,1.4,1.22
,,r023,dried -- salted or smoked other meats,90,50,..,..,407470,1.4,1.22
,,r024,meat -- sausages and meat of sandwiches,640,140,0.5,0.1,407470,1.4,1.22
,,r025,pastry -- cured meats and provisions,200,120,..,..,407470,1.4,1.22
,,r026,meatdishes,250,120,0.2,0.1,407470,1.4,1.22
,,r027,meat - unspecified,..,..,..,..,407470,1.4,1.22
,,r028,fish,1160,270,0.8,0.2,407470,1.4,1.22
,,r029,fresh -- chilled or frozen fish -- of which:,350,120,0.2,0.1,407470,1.4,1.22
,,r030,codfish,..,..,..,..,407470,1.4,1.22
,,r031,salomonfish,170,90,..,..,407470,1.4,1.22
,,r032,herring,..,..,..,..,407470,1.4,1.22
,,r033,other fish,100,50,..,..,407470,1.4,1.22
,,r034,seafood,190,120,..,..,407470,1.4,1.22
,,r035,caviar -- roes -- other fishproducts,110,50,..,..,407470,1.4,1.22
,,r036,fish and seafood dishes,510,130,0.3,0.1,407470,1.4,1.22
,,r037,fish and seafood - unspecified,..,..,..,..,407470,1.4,1.22
,,r038,milk -- cheese and eggs,3150,420,2.1,0.3,407470,1.4,1.22
,,r039,milk (fat >=1 --5%),250,80,..,..,407470,1.4,1.22
,,r040,low fat milk (fat <1 --5%),560,120,0.4,0.1,407470,1.4,1.22
,,r041,preserved milk,..,..,..,..,407470,1.4,1.22
,,r042,yoghurt and sour milk,540,120,0.4,0.1,407470,1.4,1.22
,,r043,cream -- sour cream (fat>=29%),170,50,..,..,407470,1.4,1.22
,,r044,cream -- sour cream (fat<29%),170,50,..,..,407470,1.4,1.22
,,r045,cheese (fat >=17%),810,180,0.6,0.1,407470,1.4,1.22
,,r046,cheese (fat <17%),300,100,0.2,0.1,407470,1.4,1.22
,,r047,eggs,320,70,..,..,407470,1.4,1.22
,,r048,milk -- cheese -- eggs - ospec,..,..,..,..,407470,1.4,1.22
,,r049,oils and fats,570,110,0.4,0.1,407470,1.4,1.22
,,r050,butter,200,60,..,..,407470,1.4,1.22
,,r051,margarine (fat>=40%),160,50,..,..,407470,1.4,1.22
,,r052,margarine (fat<40%),50,20,..,..,407470,1.4,1.22
,,r053,olive oil -- cooking oil -- mayonnaise,150,70,..,..,407470,1.4,1.22
,,r054,fruit and berries,1640,370,1.1,0.3,407470,1.4,1.22
,,r055,apples,210,60,..,..,407470,1.4,1.22
,,r056,pears,70,30,..,..,407470,1.4,1.22
,,r057,bananas,280,80,..,..,407470,1.4,1.22
,,r058,citrus fruits,270,80,0.2,0.1,407470,1.4,1.22
,,r059,other fresh fruit,190,90,..,..,407470,1.4,1.22
,,r060,dried fruit,260,170,..,..,407470,1.4,1.22
,,r061,berries,240,100,0.2,0.1,407470,1.4,1.22
,,r062,preserved fruit and fruit based products,..,..,..,..,407470,1.4,1.22
,,r063,others fruit and berries,100,60,..,..,407470,1.4,1.22
,,r064,vegetables,2200,370,1.4,0.2,407470,1.4,1.22
,,r065,leaf and stem vegetables,250,90,0.2,0.1,407470,1.4,1.22
,,r066,cabbages -- fresh,90,40,..,..,407470,1.4,1.22
,,r067,vegetables cultivated for their fruit -- fresh ,710,130,0.5,0.1,407470,1.4,1.22
,,r068,onion -- leek -- fresh,130,40,..,..,407470,1.4,1.22
,,r069,mashrooms -- fresh,..,..,..,..,407470,1.4,1.22
,,r070,soups -- vegetabledishes,320,120,0.2,0.1,407470,1.4,1.22
,,r071,root crops,140,60,..,..,407470,1.4,1.22
,,r072,potatoes,290,100,0.2,0.1,407470,1.4,1.22
,,r073,products of potatoes (french fries -- mashed potatoes),170,70,..,..,407470,1.4,1.22
,,r074,vegetables - unspecified,80,70,..,..,407470,1.4,1.22
,,r075,sugar and sweets,1940,310,1.3,0.2,407470,1.4,1.22
,,r076,sugar -- jam -- honey -- chocolate and confectionery,160,60,..,..,407470,1.4,1.22
,,r077,jams -- marmelade,100,40,..,..,407470,1.4,1.22
,,r078,ice cream,340,110,0.2,0.1,407470,1.4,1.22
,,r079,other suger products,1340,260,0.9,0.2,407470,1.4,1.22
,,r080,sauces -- condiments,330,90,0.2,0.1,407470,1.4,1.22
,,r081,salt -- spices and culinary herbs,200,60,..,..,407470,1.4,1.22
,,r082,baby food -- dietary preparations -- baker´s yeast and other food preparations,150,50,..,..,407470,1.4,1.22
,,r083,snacks,230,70,..,..,407470,1.4,1.22
,,r084,unspec provisions,1430,1010,0.9,0.7,407470,1.4,1.22
,,r085,non alcoholic beverages,1710,270,1.2,0.2,407470,1.4,1.22
,,r086,fruit- and vegetable juices,270,80,0.2,0.1,407470,1.4,1.22
,,r087,soft drinks,680,200,0.5,0.2,407470,1.4,1.22
,,r088,mineral or spring waters,80,40,..,..,407470,1.4,1.22
,,r089,coffee,550,140,0.4,0.1,407470,1.4,1.22
,,r090,tee,140,80,..,..,407470,1.4,1.22
,,r091,cacao,..,..,..,..,407470,1.4,1.22
,,r092,dinner out,6480,2240,4.0,1.2,407470,1.4,1.22
,,r093,alcoholic beverages (with low-strength beer),2700,870,2.2,1.1,407470,1.4,1.22
,,r094,tobacco ,1640,620,1.1,0.4,407470,1.4,1.22
,,r095,consumer goods,3180,560,2.0,0.3,407470,1.4,1.22
,,r096,personal hygiene,1620,380,1.0,0.2,407470,1.4,1.22
,,r097,other consumption purposes,1560,310,1.0,0.2,407470,1.4,1.22
,,r098,domestic services,2270,790,1.3,0.5,407470,1.4,1.22
,,r099,childminding,270,150,..,..,407470,1.4,1.22
,,r100,charge of skill -- other insurance,550,180,0.4,0.1,407470,1.4,1.22
,,r101,other services,1460,760,0.8,0.4,407470,1.4,1.22
,,r102,clothing and footwear,6440,2310,3.9,1.3,407470,1.4,1.22
