Region ID,Region Name,Building Type ID,Building Type Name,Floor Space ID,Floor Space Name,2013,2014,2015,2016,2017,2018,2019,2020
,,,,101,101-110 sq.m.,4652,4665,4698,4751,4804,4858,4907,4979
,,,,111,111-120 sq.m.,2722,2735,2746,2755,2763,2783,2806,2848
,,,,121,121-130 sq.m.,1639,1647,1656,1666,1680,1685,1701,1716
,,,,131,131-140 sq.m.,779,782,787,794,798,801,806,824
,,,,141,141-150 sq.m.,353,355,357,357,357,357,358,365
,,,,151,151-160 sq.m.,243,243,243,248,248,243,240,240
,,,,161,161-170 sq.m.,202,203,203,203,204,216,216,217
,,,,171,171-180 sq.m.,118,118,120,120,120,115,114,115
,,,,181,181-190 sq.m.,77,77,78,78,78,78,79,79
,,,,191,191-200 sq.m.,61,60,59,59,59,59,59,62
,,,,200plus,> 200 sq.m.,141,141,141,142,141,141,141,142
,,,,US,data missing,0,0,0,0,0,0,0,0
,,OVRHUS,other buildings,30mindre,< 31 sq.m.,118,118,119,117,118,119,135,135
,,,,31,31-40 sq.m.,184,180,207,208,208,256,276,294
,,,,41,41-50 sq.m.,296,298,313,320,321,333,352,354
,,,,51,51-60 sq.m.,351,354,356,360,353,379,391,444
,,,,61,61-70 sq.m.,432,432,445,448,432,443,442,448
,,,,71,71-80 sq.m.,409,413,414,430,433,447,454,479
,,,,81,81-90 sq.m.,516,523,500,508,509,513,512,535
,,,,91,91-100 sq.m.,240,242,245,246,245,264,265,274
,,,,101,101-110 sq.m.,125,126,128,129,138,138,140,159
,,,,111,111-120 sq.m.,81,85,86,84,84,83,83,83
,,,,121,121-130 sq.m.,54,56,56,57,61,61,61,64
,,,,131,131-140 sq.m.,41,41,41,44,43,43,43,46
,,,,141,141-150 sq.m.,44,44,43,43,42,44,44,50
,,,,151,151-160 sq.m.,22,21,21,21,21,22,23,23
,,,,161,161-170 sq.m.,3,4,4,4,4,4,4,4
,,,,171,171-180 sq.m.,10,10,10,10,10,10,10,10
,,,,181,181-190 sq.m.,10,9,9,9,9,9,9,8
,,,,191,191-200 sq.m.,15,15,15,15,15,15,15,15
,,,,200plus,> 200 sq.m.,35,42,42,41,41,41,41,41
,,,,US,data missing,0,0,0,0,0,0,0,0
