Decile ID,Decile,Good ID,Good,Expenditures,Expenditures -- margin of error,Share,Share of margin of error,Calculated population size,Average number of persons,Average number of consumer units
,,r104, outdoor clothes,390,350,..,..,308030,1.3,1.13
,,r105,other clothes,3710,2030,2.5,1.4,308030,1.3,1.13
,,r106,underwear,880,690,0.6,0.5,308030,1.3,1.13
,,r107,accessoarer -- hats -- caps -- gloves etc.,270,240,..,..,308030,1.3,1.13
,,r108,footwear,1570,1230,0.7,0.6,308030,1.3,1.13
,,r109,housing,50330,6480,38.7,4.6,308030,1.3,1.13
,,r110,actual rentals for housing (incl. garage),29760,4950,25.5,4.8,308030,1.3,1.13
,,r111,reparations,2460,1710,1.4,1.0,308030,1.3,1.13
,,r112,householder´s comprehensive insurance,1250,370,1.0,0.4,308030,1.3,1.13
,,r113,services associates with housing ,2900,1530,1.8,0.9,308030,1.3,1.13
,,r114,electicity -- gas and other fuels ,6250,1940,4.5,1.3,308030,1.3,1.13
,,r115,interests (gross),6450,3460,3.6,2.0,308030,1.3,1.13
,,r116,furnishings -- household equipment and routine maintenance of the house,5720,2130,3.2,1.0,308030,1.3,1.13
,,r117,furniture and furnishings -- carpets and other floor coverings,2730,1230,1.4,0.6,308030,1.3,1.13
,,r118,textile,..,..,..,..,308030,1.3,1.13
,,r119,household applience,2600,1000,1.6,0.6,308030,1.3,1.13
,,r120,health and hospital services,2780,1720,1.8,1.1,308030,1.3,1.13
,,r121,transport,15210,5280,9.3,2.6,308030,1.3,1.13
,,r122,purchase of new motor-cars,4120,3770,1.5,1.3,308030,1.3,1.13
,,r123,purchase of other vehicles,-390,1940,-0.2,1.2,308030,1.3,1.13
,,r124,operation of motor-cars,7540,2450,5.4,1.8,308030,1.3,1.13
,,r125,interests (motorcars - gross) -- licence duty,860,350,0.6,0.2,308030,1.3,1.13
,,r126,operation of other vehicles,270,230,..,..,308030,1.3,1.13
,,r127,interests (other vehicles - gross) -- licence duty (other vehicles),..,..,..,..,308030,1.3,1.13
,,r128,services of transport,2790,1270,1.9,0.9,308030,1.3,1.13
,,r129,leisure time and culture,26780,5540,18.2,2.6,308030,1.3,1.13
,,r130,weekend cottage,570,490,0.3,0.2,308030,1.3,1.13
,,r131,radio and tv,1130,670,0.7,0.4,308030,1.3,1.13
,,r132,sport and hobby,5320,3600,3.5,2.2,308030,1.3,1.13
,,r133,watch -- camera -- photographic and cinematographic equipment,550,370,0.3,0.2,308030,1.3,1.13
,,r134,holidays -- hotels,5880,2440,3.9,1.7,308030,1.3,1.13
,,r135,other spare time,3720,1880,2.2,0.8,308030,1.3,1.13
,,r136,entertainment,950,730,0.5,0.4,308030,1.3,1.13
,,r137,books -- newspapers -- television taxes,4980,970,3.8,0.7,308030,1.3,1.13
,,r138,mobiltelephone (callcharge and subscription fee),1650,540,1.2,0.4,308030,1.3,1.13
,,r139,telephone (callcharge and subscription fee),2030,510,1.8,0.6,308030,1.3,1.13
D2,decil 2,r001,total expenditures,156080,15920,100.0,0.0,405890,1.1,1.07
,,r002,food,18230,2180,13.0,1.2,405890,1.1,1.07
,,r003,bread and cereals,2970,400,2.2,0.3,405890,1.1,1.07
,,r004,rice and products of rice -- of which:,200,80,0.2,0.1,405890,1.1,1.07
,,r005,rice,80,60,..,..,405890,1.1,1.07
,,r006,products of rice,120,60,..,..,405890,1.1,1.07
,,r007,pasta products,150,70,..,..,405890,1.1,1.07
,,r008,flour -- grain,310,100,0.2,0.1,405890,1.1,1.07
,,r009,bread -- of which:,1210,200,0.9,0.2,405890,1.1,1.07
,,r010,hard bread,200,80,..,..,405890,1.1,1.07
,,r011,soft white bread,240,80,0.2,0.1,405890,1.1,1.07
,,r012,soft brown bread,330,120,0.3,0.1,405890,1.1,1.07
,,r013,soft light bread,250,90,0.2,0.1,405890,1.1,1.07
,,r014,bread unspecified,190,80,..,..,405890,1.1,1.07
,,r015,pastry-cook products,1100,290,0.9,0.3,405890,1.1,1.07
,,r016,meat,3600,720,2.6,0.5,405890,1.1,1.07
,,r017,fresh -- chilled or frozen meat of bovine animals,450,280,0.3,0.2,405890,1.1,1.07
,,r018,fresh -- chilled or frozen meat of pig,530,180,0.4,0.2,405890,1.1,1.07
,,r019,fresh -- chilled or frozen meat of sheep and goat,..,..,..,..,405890,1.1,1.07
,,r020,fresh -- chilled or frozen meat of poultry,550,310,0.4,0.2,405890,1.1,1.07
,,r021,dried -- salted or smoked meat and edible meat offal,..,..,..,..,405890,1.1,1.07
,,r022,dried -- salted or smoked meat of pig,710,200,0.6,0.2,405890,1.1,1.07
,,r023,dried -- salted or smoked other meats,120,60,..,..,405890,1.1,1.07
,,r024,meat -- sausages and meat of sandwiches,670,190,0.5,0.1,405890,1.1,1.07
,,r025,pastry -- cured meats and provisions,260,150,0.2,0.1,405890,1.1,1.07
,,r026,meatdishes,200,120,..,..,405890,1.1,1.07
,,r027,meat - unspecified,..,..,..,..,405890,1.1,1.07
,,r028,fish,880,300,0.6,0.2,405890,1.1,1.07
,,r029,fresh -- chilled or frozen fish -- of which:,470,240,0.3,0.1,405890,1.1,1.07
,,r030,codfish,60,50,..,..,405890,1.1,1.07
,,r031,salomonfish,260,190,0.2,0.1,405890,1.1,1.07
,,r032,herring,..,..,..,..,405890,1.1,1.07
,,r033,other fish,120,100,..,..,405890,1.1,1.07
,,r034,seafood,70,50,..,..,405890,1.1,1.07
,,r035,caviar -- roes -- other fishproducts,60,30,..,..,405890,1.1,1.07
,,r036,fish and seafood dishes,280,140,..,..,405890,1.1,1.07
,,r037,fish and seafood - unspecified,..,..,..,..,405890,1.1,1.07
,,r038,milk -- cheese and eggs,3260,440,2.3,0.3,405890,1.1,1.07
,,r039,milk (fat >=1 --5%),250,80,0.2,0.1,405890,1.1,1.07
,,r040,low fat milk (fat <1 --5%),530,120,0.4,0.1,405890,1.1,1.07
,,r041,preserved milk,..,..,..,..,405890,1.1,1.07
,,r042,yoghurt and sour milk,510,140,0.4,0.1,405890,1.1,1.07
,,r043,cream -- sour cream (fat>=29%),200,60,..,..,405890,1.1,1.07
,,r044,cream -- sour cream (fat<29%),140,60,..,..,405890,1.1,1.07
,,r045,cheese (fat >=17%),810,200,0.6,0.2,405890,1.1,1.07
,,r046,cheese (fat <17%),490,180,0.3,0.1,405890,1.1,1.07
,,r047,eggs,320,90,0.2,0.1,405890,1.1,1.07
,,r048,milk -- cheese -- eggs - ospec,..,..,..,..,405890,1.1,1.07
,,r049,oils and fats,650,210,0.5,0.1,405890,1.1,1.07
,,r050,butter,210,80,0.2,0.1,405890,1.1,1.07
,,r051,margarine (fat>=40%),160,50,..,..,405890,1.1,1.07
,,r052,margarine (fat<40%),90,40,..,..,405890,1.1,1.07
,,r053,olive oil -- cooking oil -- mayonnaise,..,..,..,..,405890,1.1,1.07
,,r054,fruit and berries,1540,290,1.1,0.2,405890,1.1,1.07
,,r055,apples,190,60,..,..,405890,1.1,1.07
,,r056,pears,70,40,..,..,405890,1.1,1.07
,,r057,bananas,300,80,0.2,0.1,405890,1.1,1.07
,,r058,citrus fruits,250,80,0.2,0.1,405890,1.1,1.07
,,r059,other fresh fruit,170,90,..,..,405890,1.1,1.07
,,r060,dried fruit,220,100,0.2,0.1,405890,1.1,1.07
,,r061,berries,200,80,..,..,405890,1.1,1.07
,,r062,preserved fruit and fruit based products,30,20,..,..,405890,1.1,1.07
,,r063,others fruit and berries,..,..,..,..,405890,1.1,1.07
,,r064,vegetables,2270,400,1.6,0.3,405890,1.1,1.07
,,r065,leaf and stem vegetables,240,100,0.2,0.1,405890,1.1,1.07
,,r066,cabbages -- fresh,90,50,..,..,405890,1.1,1.07
,,r067,vegetables cultivated for their fruit -- fresh ,770,160,0.5,0.1,405890,1.1,1.07
,,r068,onion -- leek -- fresh,100,30,..,..,405890,1.1,1.07
,,r069,mashrooms -- fresh,..,..,..,..,405890,1.1,1.07
,,r070,soups -- vegetabledishes,250,90,0.2,0.1,405890,1.1,1.07
,,r071,root crops,170,100,..,..,405890,1.1,1.07
,,r072,potatoes,330,110,0.3,0.1,405890,1.1,1.07
,,r073,products of potatoes (french fries -- mashed potatoes),200,80,0.2,0.1,405890,1.1,1.07
,,r074,vegetables - unspecified,..,..,..,..,405890,1.1,1.07
,,r075,sugar and sweets,1650,300,1.2,0.2,405890,1.1,1.07
,,r076,sugar -- jam -- honey -- chocolate and confectionery,170,80,..,..,405890,1.1,1.07
,,r077,jams -- marmelade,130,50,..,..,405890,1.1,1.07
,,r078,ice cream,200,90,..,..,405890,1.1,1.07
,,r079,other suger products,1150,250,0.8,0.2,405890,1.1,1.07
,,r080,sauces -- condiments,250,140,..,..,405890,1.1,1.07
,,r081,salt -- spices and culinary herbs,140,60,..,..,405890,1.1,1.07
,,r082,baby food -- dietary preparations -- baker´s yeast and other food preparations,330,250,0.2,0.1,405890,1.1,1.07
,,r083,snacks,150,100,..,..,405890,1.1,1.07
,,r084,unspec provisions,530,420,..,..,405890,1.1,1.07
,,r085,non alcoholic beverages,1620,370,1.1,0.3,405890,1.1,1.07
,,r086,fruit- and vegetable juices,180,70,0.2,0.1,405890,1.1,1.07
,,r087,soft drinks,720,270,0.5,0.2,405890,1.1,1.07
,,r088,mineral or spring waters,130,70,..,..,405890,1.1,1.07
,,r089,coffee,480,150,0.3,0.1,405890,1.1,1.07
,,r090,tee,100,70,..,..,405890,1.1,1.07
,,r091,cacao,..,..,..,..,405890,1.1,1.07
,,r092,dinner out,3860,1490,1.9,0.6,405890,1.1,1.07
,,r093,alcoholic beverages (with low-strength beer),2050,780,1.3,0.5,405890,1.1,1.07
,,r094,tobacco ,1680,730,1.2,0.5,405890,1.1,1.07
,,r095,consumer goods,2970,1110,1.8,0.4,405890,1.1,1.07
,,r096,personal hygiene,1670,820,0.9,0.3,405890,1.1,1.07
,,r097,other consumption purposes,1300,370,0.9,0.2,405890,1.1,1.07
,,r098,domestic services,3700,1740,2.0,0.9,405890,1.1,1.07
,,r099,childminding,..,..,..,..,405890,1.1,1.07
,,r100,charge of skill -- other insurance,510,170,0.3,0.1,405890,1.1,1.07
,,r101,other services,3060,1720,1.6,0.9,405890,1.1,1.07
,,r102,clothing and footwear,6880,3750,3.3,1.2,405890,1.1,1.07
,,r103,clothing,6200,3680,2.9,1.2,405890,1.1,1.07
,,r104, outdoor clothes,..,..,0.8,0.6,405890,1.1,1.07
,,r105,other clothes,3030,1700,1.6,0.9,405890,1.1,1.07
,,r106,underwear,560,300,0.4,0.2,405890,1.1,1.07
,,r107,accessoarer -- hats -- caps -- gloves etc.,100,90,..,..,405890,1.1,1.07
,,r108,footwear,680,570,..,..,405890,1.1,1.07
,,r109,housing,53810,3710,39.3,2.9,405890,1.1,1.07
,,r110,actual rentals for housing (incl. garage),37790,3840,29.2,3.5,405890,1.1,1.07
,,r111,reparations,1080,630,0.6,0.4,405890,1.1,1.07
,,r112,householder´s comprehensive insurance,1180,200,0.9,0.2,405890,1.1,1.07
,,r113,services associates with housing ,1380,740,1.1,0.7,405890,1.1,1.07
,,r114,electicity -- gas and other fuels ,4730,1020,3.4,0.8,405890,1.1,1.07
,,r115,interests (gross),6250,2860,3.1,1.3,405890,1.1,1.07
,,r116,furnishings -- household equipment and routine maintenance of the house,4800,1820,2.5,0.7,405890,1.1,1.07
,,r117,furniture and furnishings -- carpets and other floor coverings,2150,820,1.3,0.4,405890,1.1,1.07
,,r118,textile,740,730,0.3,0.2,405890,1.1,1.07
,,r119,household applience,1910,760,0.9,0.3,405890,1.1,1.07
,,r120,health and hospital services,5400,3450,2.9,1.3,405890,1.1,1.07
,,r121,transport,23130,6370,12.2,2.6,405890,1.1,1.07
,,r122,purchase of new motor-cars,6130,3890,2.2,1.6,405890,1.1,1.07
,,r123,purchase of other vehicles,..,..,..,..,405890,1.1,1.07
,,r124,operation of motor-cars,12520,3770,6.9,1.8,405890,1.1,1.07
,,r125,interests (motorcars - gross) -- licence duty,810,210,0.5,0.1,405890,1.1,1.07
,,r126,operation of other vehicles,..,..,..,..,405890,1.1,1.07
,,r127,interests (other vehicles - gross) -- licence duty (other vehicles),..,..,..,..,405890,1.1,1.07
,,r128,services of transport,3220,1220,2.3,1.1,405890,1.1,1.07
,,r129,leisure time and culture,26840,4780,17.0,2.1,405890,1.1,1.07
,,r130,weekend cottage,840,800,..,..,405890,1.1,1.07
,,r131,radio and tv,2510,1080,1.5,0.5,405890,1.1,1.07
,,r132,sport and hobby,2740,1580,1.4,0.8,405890,1.1,1.07
,,r133,watch -- camera -- photographic and cinematographic equipment,..,..,..,..,405890,1.1,1.07
,,r134,holidays -- hotels,4570,2030,2.8,1.3,405890,1.1,1.07
,,r135,other spare time,4790,1970,2.9,0.9,405890,1.1,1.07
,,r136,entertainment,760,430,0.4,0.2,405890,1.1,1.07
,,r137,books -- newspapers -- television taxes,6000,1110,4.0,0.7,405890,1.1,1.07
,,r138,mobiltelephone (callcharge and subscription fee),1620,520,1.1,0.4,405890,1.1,1.07
,,r139,telephone (callcharge and subscription fee),2480,360,2.0,0.4,405890,1.1,1.07
D3,decil 3,r001,total expenditures,183060,22150,100.0,0.0,406870,1.4,1.19
,,r002,food,21740,2270,14.2,1.7,406870,1.4,1.19
,,r003,bread and cereals,3520,470,2.4,0.4,406870,1.4,1.19
,,r004,rice and products of rice -- of which:,160,70,..,..,406870,1.4,1.19
,,r005,rice,90,50,..,..,406870,1.4,1.19
,,r006,products of rice,70,50,..,..,406870,1.4,1.19
,,r007,pasta products,260,90,0.2,0.1,406870,1.4,1.19
,,r008,flour -- grain,410,120,0.3,0.1,406870,1.4,1.19
,,r009,bread -- of which:,1570,230,1.1,0.2,406870,1.4,1.19
,,r010,hard bread,260,90,0.2,0.1,406870,1.4,1.19
,,r011,soft white bread,290,80,..,..,406870,1.4,1.19
,,r012,soft brown bread,190,60,..,..,406870,1.4,1.19
,,r013,soft light bread,500,130,0.4,0.2,406870,1.4,1.19
,,r014,bread unspecified,330,150,0.2,0.1,406870,1.4,1.19
,,r015,pastry-cook products,1120,270,0.8,0.2,406870,1.4,1.19
,,r016,meat,4330,750,3.0,0.6,406870,1.4,1.19
,,r017,fresh -- chilled or frozen meat of bovine animals,540,210,0.3,0.1,406870,1.4,1.19
,,r018,fresh -- chilled or frozen meat of pig,1010,360,0.7,0.2,406870,1.4,1.19
,,r019,fresh -- chilled or frozen meat of sheep and goat,140,100,..,..,406870,1.4,1.19
,,r020,fresh -- chilled or frozen meat of poultry,450,160,0.3,0.1,406870,1.4,1.19
,,r021,dried -- salted or smoked meat and edible meat offal,..,..,..,..,406870,1.4,1.19
,,r022,dried -- salted or smoked meat of pig,810,190,0.6,0.1,406870,1.4,1.19
,,r023,dried -- salted or smoked other meats,150,70,..,..,406870,1.4,1.19
,,r024,meat -- sausages and meat of sandwiches,670,150,0.4,0.1,406870,1.4,1.19
,,r025,pastry -- cured meats and provisions,320,150,..,..,406870,1.4,1.19
,,r026,meatdishes,180,100,..,..,406870,1.4,1.19
,,r027,meat - unspecified,60,40,..,..,406870,1.4,1.19
,,r028,fish,1350,370,0.9,0.3,406870,1.4,1.19
,,r029,fresh -- chilled or frozen fish -- of which:,620,300,0.4,0.2,406870,1.4,1.19
,,r030,codfish,70,40,..,..,406870,1.4,1.19
,,r031,salomonfish,300,170,0.2,0.1,406870,1.4,1.19
,,r032,herring,..,..,..,..,406870,1.4,1.19
,,r033,other fish,70,60,..,..,406870,1.4,1.19
,,r034,seafood,90,80,..,..,406870,1.4,1.19
,,r035,caviar -- roes -- other fishproducts,130,50,..,..,406870,1.4,1.19
,,r036,fish and seafood dishes,510,230,0.4,0.2,406870,1.4,1.19
,,r037,fish and seafood - unspecified,..,..,..,..,406870,1.4,1.19
,,r038,milk -- cheese and eggs,3720,450,2.4,0.4,406870,1.4,1.19
,,r039,milk (fat >=1 --5%),340,120,0.2,0.1,406870,1.4,1.19
,,r040,low fat milk (fat <1 --5%),540,110,0.4,0.1,406870,1.4,1.19
,,r041,preserved milk,30,20,..,..,406870,1.4,1.19
,,r042,yoghurt and sour milk,550,140,0.4,0.1,406870,1.4,1.19
,,r043,cream -- sour cream (fat>=29%),190,70,..,..,406870,1.4,1.19
,,r044,cream -- sour cream (fat<29%),210,70,..,..,406870,1.4,1.19
,,r045,cheese (fat >=17%),1000,230,0.6,0.2,406870,1.4,1.19
,,r046,cheese (fat <17%),510,130,0.3,0.1,406870,1.4,1.19
,,r047,eggs,350,90,0.2,0.1,406870,1.4,1.19
,,r048,milk -- cheese -- eggs - ospec,..,..,..,..,406870,1.4,1.19
,,r049,oils and fats,730,140,0.5,0.1,406870,1.4,1.19
,,r050,butter,270,90,0.2,0.1,406870,1.4,1.19
,,r051,margarine (fat>=40%),160,50,..,..,406870,1.4,1.19
,,r052,margarine (fat<40%),100,50,..,..,406870,1.4,1.19
,,r053,olive oil -- cooking oil -- mayonnaise,200,70,..,..,406870,1.4,1.19
,,r054,fruit and berries,1770,300,1.2,0.2,406870,1.4,1.19
,,r055,apples,200,50,..,..,406870,1.4,1.19
,,r056,pears,90,40,..,..,406870,1.4,1.19
,,r057,bananas,270,70,..,..,406870,1.4,1.19
,,r058,citrus fruits,320,90,0.2,0.1,406870,1.4,1.19
,,r059,other fresh fruit,210,80,..,..,406870,1.4,1.19
,,r060,dried fruit,250,110,0.2,0.1,406870,1.4,1.19
,,r061,berries,300,140,0.2,0.1,406870,1.4,1.19
,,r062,preserved fruit and fruit based products,30,20,..,..,406870,1.4,1.19
,,r063,others fruit and berries,90,70,..,..,406870,1.4,1.19
,,r064,vegetables,2530,390,1.6,0.2,406870,1.4,1.19
,,r065,leaf and stem vegetables,290,90,..,..,406870,1.4,1.19
,,r066,cabbages -- fresh,60,40,..,..,406870,1.4,1.19
,,r067,vegetables cultivated for their fruit -- fresh ,770,180,0.5,0.1,406870,1.4,1.19
,,r068,onion -- leek -- fresh,140,50,..,..,406870,1.4,1.19
,,r069,mashrooms -- fresh,..,..,..,..,406870,1.4,1.19
,,r070,soups -- vegetabledishes,440,110,0.3,0.1,406870,1.4,1.19
,,r071,root crops,180,60,..,..,406870,1.4,1.19
,,r072,potatoes,320,80,0.2,0.1,406870,1.4,1.19
,,r073,products of potatoes (french fries -- mashed potatoes),240,90,0.2,0.1,406870,1.4,1.19
,,r074,vegetables - unspecified,..,..,..,..,406870,1.4,1.19
,,r075,sugar and sweets,2180,360,1.3,0.2,406870,1.4,1.19
,,r076,sugar -- jam -- honey -- chocolate and confectionery,230,80,..,..,406870,1.4,1.19
,,r077,jams -- marmelade,160,70,..,..,406870,1.4,1.19
,,r078,ice cream,410,130,0.2,0.1,406870,1.4,1.19
,,r079,other suger products,1380,280,0.8,0.1,406870,1.4,1.19
,,r080,sauces -- condiments,330,90,0.2,0.1,406870,1.4,1.19
,,r081,salt -- spices and culinary herbs,210,80,..,..,406870,1.4,1.19
,,r082,baby food -- dietary preparations -- baker´s yeast and other food preparations,170,50,..,..,406870,1.4,1.19
,,r083,snacks,220,80,..,..,406870,1.4,1.19
,,r084,unspec provisions,680,510,0.4,0.3,406870,1.4,1.19
,,r085,non alcoholic beverages,1810,330,1.1,0.2,406870,1.4,1.19
,,r086,fruit- and vegetable juices,240,80,0.2,0.1,406870,1.4,1.19
,,r087,soft drinks,770,220,0.5,0.1,406870,1.4,1.19
,,r088,mineral or spring waters,100,50,..,..,406870,1.4,1.19
,,r089,coffee,540,160,0.3,0.1,406870,1.4,1.19
,,r090,tee,120,90,..,..,406870,1.4,1.19
,,r091,cacao,..,..,..,..,406870,1.4,1.19
,,r092,dinner out,5350,1380,3.3,0.9,406870,1.4,1.19
,,r093,alcoholic beverages (with low-strength beer),2360,720,1.5,0.5,406870,1.4,1.19
,,r094,tobacco ,2200,870,1.3,0.5,406870,1.4,1.19
,,r095,consumer goods,3120,770,1.7,0.4,406870,1.4,1.19
,,r096,personal hygiene,1730,540,1.0,0.3,406870,1.4,1.19
,,r097,other consumption purposes,1390,420,0.8,0.2,406870,1.4,1.19
,,r098,domestic services,5620,2480,2.6,0.8,406870,1.4,1.19
,,r099,childminding,420,270,0.2,0.1,406870,1.4,1.19
,,r100,charge of skill -- other insurance,590,200,0.4,0.1,406870,1.4,1.19
,,r101,other services,4600,2450,2.0,0.8,406870,1.4,1.19
