Decile ID,Decile,Good ID,Good,Expenditures,Expenditures -- margin of error,Share,Share of margin of error,Calculated population size,Average number of persons,Average number of consumer units
D1,decil 1,r001,total expenditures,140160,16020,100.0,0.0,308030,1.3,1.13
,,r002,food,17310,2120,14.0,1.8,308030,1.3,1.13
,,r003,bread and cereals,3560,540,2.9,0.5,308030,1.3,1.13
,,r004,rice and products of rice -- of which:,150,90,..,..,308030,1.3,1.13
,,r005,rice,70,40,..,..,308030,1.3,1.13
,,r006,products of rice,90,80,..,..,308030,1.3,1.13
,,r007,pasta products,380,150,0.3,0.1,308030,1.3,1.13
,,r008,flour -- grain,400,140,0.3,0.1,308030,1.3,1.13
,,r009,bread -- of which:,1520,260,1.3,0.2,308030,1.3,1.13
,,r010,hard bread,220,130,0.2,0.1,308030,1.3,1.13
,,r011,soft white bread,390,150,0.4,0.2,308030,1.3,1.13
,,r012,soft brown bread,260,110,0.2,0.1,308030,1.3,1.13
,,r013,soft light bread,330,100,0.3,0.1,308030,1.3,1.13
,,r014,bread unspecified,320,140,0.3,0.1,308030,1.3,1.13
,,r015,pastry-cook products,1090,280,0.9,0.3,308030,1.3,1.13
,,r016,meat,3000,600,2.4,0.5,308030,1.3,1.13
,,r017,fresh -- chilled or frozen meat of bovine animals,230,120,0.2,0.1,308030,1.3,1.13
,,r018,fresh -- chilled or frozen meat of pig,500,180,0.4,0.2,308030,1.3,1.13
,,r019,fresh -- chilled or frozen meat of sheep and goat,..,..,..,..,308030,1.3,1.13
,,r020,fresh -- chilled or frozen meat of poultry,310,170,0.2,0.1,308030,1.3,1.13
,,r021,dried -- salted or smoked meat and edible meat offal,..,..,..,..,308030,1.3,1.13
,,r022,dried -- salted or smoked meat of pig,610,180,0.5,0.2,308030,1.3,1.13
,,r023,dried -- salted or smoked other meats,170,110,..,..,308030,1.3,1.13
,,r024,meat -- sausages and meat of sandwiches,470,160,0.4,0.2,308030,1.3,1.13
,,r025,pastry -- cured meats and provisions,180,80,..,..,308030,1.3,1.13
,,r026,meatdishes,380,270,0.3,0.2,308030,1.3,1.13
,,r027,meat - unspecified,..,..,..,..,308030,1.3,1.13
,,r028,fish,1100,520,0.9,0.3,308030,1.3,1.13
,,r029,fresh -- chilled or frozen fish -- of which:,430,410,0.3,0.2,308030,1.3,1.13
,,r030,codfish,..,..,..,..,308030,1.3,1.13
,,r031,salomonfish,70,60,..,..,308030,1.3,1.13
,,r032,herring,..,..,..,..,308030,1.3,1.13
,,r033,other fish,90,80,..,..,308030,1.3,1.13
,,r034,seafood,..,..,..,..,308030,1.3,1.13
,,r035,caviar -- roes -- other fishproducts,180,90,..,..,308030,1.3,1.13
,,r036,fish and seafood dishes,440,170,0.4,0.2,308030,1.3,1.13
,,r037,fish and seafood - unspecified,..,..,..,..,308030,1.3,1.13
,,r038,milk -- cheese and eggs,3040,420,2.5,0.4,308030,1.3,1.13
,,r039,milk (fat >=1 --5%),290,130,0.2,0.1,308030,1.3,1.13
,,r040,low fat milk (fat <1 --5%),570,130,0.5,0.2,308030,1.3,1.13
,,r041,preserved milk,..,..,..,..,308030,1.3,1.13
,,r042,yoghurt and sour milk,450,160,0.4,0.1,308030,1.3,1.13
,,r043,cream -- sour cream (fat>=29%),100,50,..,..,308030,1.3,1.13
,,r044,cream -- sour cream (fat<29%),170,80,..,..,308030,1.3,1.13
,,r045,cheese (fat >=17%),760,230,0.6,0.2,308030,1.3,1.13
,,r046,cheese (fat <17%),340,130,0.3,0.1,308030,1.3,1.13
,,r047,eggs,320,90,0.3,0.1,308030,1.3,1.13
,,r048,milk -- cheese -- eggs - ospec,..,..,..,..,308030,1.3,1.13
,,r049,oils and fats,570,130,0.5,0.1,308030,1.3,1.13
,,r050,butter,190,70,0.2,0.1,308030,1.3,1.13
,,r051,margarine (fat>=40%),140,60,..,..,308030,1.3,1.13
,,r052,margarine (fat<40%),100,50,..,..,308030,1.3,1.13
,,r053,olive oil -- cooking oil -- mayonnaise,120,80,..,..,308030,1.3,1.13
,,r054,fruit and berries,1310,310,1.1,0.4,308030,1.3,1.13
,,r055,apples,220,160,0.2,0.1,308030,1.3,1.13
,,r056,pears,90,50,..,..,308030,1.3,1.13
,,r057,bananas,230,80,0.2,0.1,308030,1.3,1.13
,,r058,citrus fruits,250,100,0.2,0.1,308030,1.3,1.13
,,r059,other fresh fruit,120,60,..,..,308030,1.3,1.13
,,r060,dried fruit,170,90,..,..,308030,1.3,1.13
,,r061,berries,140,70,..,..,308030,1.3,1.13
,,r062,preserved fruit and fruit based products,70,40,..,..,308030,1.3,1.13
,,r063,others fruit and berries,..,..,..,..,308030,1.3,1.13
,,r064,vegetables,1860,400,1.6,0.5,308030,1.3,1.13
,,r065,leaf and stem vegetables,210,110,0.2,0.1,308030,1.3,1.13
,,r066,cabbages -- fresh,60,30,..,..,308030,1.3,1.13
,,r067,vegetables cultivated for their fruit -- fresh ,560,160,0.6,0.2,308030,1.3,1.13
,,r068,onion -- leek -- fresh,110,50,..,..,308030,1.3,1.13
,,r069,mashrooms -- fresh,..,..,..,..,308030,1.3,1.13
,,r070,soups -- vegetabledishes,310,140,0.3,0.1,308030,1.3,1.13
,,r071,root crops,130,60,..,..,308030,1.3,1.13
,,r072,potatoes,240,100,0.2,0.1,308030,1.3,1.13
,,r073,products of potatoes (french fries -- mashed potatoes),180,80,..,..,308030,1.3,1.13
,,r074,vegetables - unspecified,..,..,..,..,308030,1.3,1.13
,,r075,sugar and sweets,1630,360,1.2,0.3,308030,1.3,1.13
,,r076,sugar -- jam -- honey -- chocolate and confectionery,120,60,..,..,308030,1.3,1.13
,,r077,jams -- marmelade,120,60,..,..,308030,1.3,1.13
,,r078,ice cream,300,180,0.3,0.2,308030,1.3,1.13
,,r079,other suger products,1090,250,0.8,0.2,308030,1.3,1.13
,,r080,sauces -- condiments,330,130,0.3,0.1,308030,1.3,1.13
,,r081,salt -- spices and culinary herbs,160,80,..,..,308030,1.3,1.13
,,r082,baby food -- dietary preparations -- baker´s yeast and other food preparations,190,80,0.2,0.1,308030,1.3,1.13
,,r083,snacks,260,110,0.2,0.1,308030,1.3,1.13
,,r084,unspec provisions,..,..,..,..,308030,1.3,1.13
,,r085,non alcoholic beverages,1730,340,1.3,0.3,308030,1.3,1.13
,,r086,fruit- and vegetable juices,210,80,..,..,308030,1.3,1.13
,,r087,soft drinks,810,230,0.6,0.2,308030,1.3,1.13
,,r088,mineral or spring waters,80,60,..,..,308030,1.3,1.13
,,r089,coffee,500,160,0.4,0.1,308030,1.3,1.13
,,r090,tee,120,60,..,..,308030,1.3,1.13
,,r091,cacao,..,..,..,..,308030,1.3,1.13
,,r092,dinner out,2960,1060,1.8,0.6,308030,1.3,1.13
,,r093,alcoholic beverages (with low-strength beer),1930,880,1.7,0.9,308030,1.3,1.13
,,r094,tobacco ,2400,1360,1.7,0.9,308030,1.3,1.13
,,r095,consumer goods,3660,1190,2.5,0.8,308030,1.3,1.13
,,r096,personal hygiene,2100,990,1.5,0.7,308030,1.3,1.13
,,r097,other consumption purposes,1570,640,1.0,0.3,308030,1.3,1.13
,,r098,domestic services,1980,1000,1.2,0.6,308030,1.3,1.13
,,r099,childminding,310,280,..,..,308030,1.3,1.13
,,r100,charge of skill -- other insurance,520,390,0.4,0.2,308030,1.3,1.13
,,r101,other services,1150,910,0.7,0.5,308030,1.3,1.13
,,r102,clothing and footwear,6840,3150,4.1,1.8,308030,1.3,1.13
,,r103,clothing,5280,2570,3.4,1.6,308030,1.3,1.13
