Decile ID,Decile,Good ID,Good,Expenditures,Expenditures -- margin of error,Share,Share of margin of error,Calculated population size,Average number of persons,Average number of consumer units
D1,decil 1,r001,total expenditures,138530,15610,100.0,0.0,311730,1.2,1.08
,,r002,food,19470,3270,15.2,2.0,311730,1.2,1.08
,,r003,bread and cereals,3890,910,3.0,0.6,311730,1.2,1.08
,,r004,rice and products of rice -- of which:,120,70,..,..,311730,1.2,1.08
,,r005,rice,..,..,..,..,311730,1.2,1.08
,,r006,products of rice,110,60,..,..,311730,1.2,1.08
,,r007,pasta products,330,150,0.3,0.1,311730,1.2,1.08
,,r008,flour -- grain,660,310,0.5,0.2,311730,1.2,1.08
,,r009,bread -- of which:,1570,410,1.2,0.3,311730,1.2,1.08
,,r010,hard bread,280,120,0.3,0.2,311730,1.2,1.08
,,r011,soft white bread,400,200,0.3,0.1,311730,1.2,1.08
,,r012,soft brown bread,180,80,..,..,311730,1.2,1.08
,,r013,soft light bread,450,250,0.3,0.2,311730,1.2,1.08
,,r014,bread unspecified,260,110,0.2,0.1,311730,1.2,1.08
,,r015,pastry-cook products,1220,520,0.9,0.4,311730,1.2,1.08
,,r016,meat,3010,770,2.3,0.6,311730,1.2,1.08
,,r017,fresh -- chilled or frozen meat of bovine animals,330,210,0.2,0.1,311730,1.2,1.08
,,r018,fresh -- chilled or frozen meat of pig,410,200,0.4,0.2,311730,1.2,1.08
,,r019,fresh -- chilled or frozen meat of sheep and goat,..,..,..,..,311730,1.2,1.08
,,r020,fresh -- chilled or frozen meat of poultry,360,180,0.3,0.1,311730,1.2,1.08
,,r021,dried -- salted or smoked meat and edible meat offal,..,..,..,..,311730,1.2,1.08
,,r022,dried -- salted or smoked meat of pig,760,260,0.6,0.2,311730,1.2,1.08
,,r023,dried -- salted or smoked other meats,150,100,..,..,311730,1.2,1.08
,,r024,meat -- sausages and meat of sandwiches,490,230,0.4,0.2,311730,1.2,1.08
,,r025,pastry -- cured meats and provisions,110,50,..,..,311730,1.2,1.08
,,r026,meatdishes,240,170,..,..,311730,1.2,1.08
,,r027,meat - unspecified,..,..,..,..,311730,1.2,1.08
,,r028,fish,1020,440,0.7,0.3,311730,1.2,1.08
,,r029,fresh -- chilled or frozen fish -- of which:,520,350,0.4,0.3,311730,1.2,1.08
,,r030,codfish,..,..,..,..,311730,1.2,1.08
,,r031,salomonfish,390,330,0.3,0.2,311730,1.2,1.08
,,r032,herring,..,..,..,..,311730,1.2,1.08
,,r033,other fish,100,80,..,..,311730,1.2,1.08
,,r034,seafood,..,..,..,..,311730,1.2,1.08
,,r035,caviar -- roes -- other fishproducts,..,..,..,..,311730,1.2,1.08
,,r036,fish and seafood dishes,460,220,0.3,0.2,311730,1.2,1.08
,,r037,fish and seafood - unspecified,..,..,..,..,311730,1.2,1.08
,,r038,milk -- cheese and eggs,3460,600,2.9,0.6,311730,1.2,1.08
,,r039,milk (fat >=1 --5%),270,110,0.3,0.2,311730,1.2,1.08
,,r040,low fat milk (fat <1 --5%),560,160,0.5,0.2,311730,1.2,1.08
,,r041,preserved milk,60,50,..,..,311730,1.2,1.08
,,r042,yoghurt and sour milk,640,180,0.5,0.2,311730,1.2,1.08
,,r043,cream -- sour cream (fat>=29%),180,80,0.2,0.1,311730,1.2,1.08
,,r044,cream -- sour cream (fat<29%),160,70,..,..,311730,1.2,1.08
,,r045,cheese (fat >=17%),730,290,0.5,0.2,311730,1.2,1.08
,,r046,cheese (fat <17%),500,200,0.4,0.2,311730,1.2,1.08
,,r047,eggs,360,110,0.4,0.2,311730,1.2,1.08
,,r048,milk -- cheese -- eggs - ospec,..,..,..,..,311730,1.2,1.08
,,r049,oils and fats,470,130,0.4,0.1,311730,1.2,1.08
,,r050,butter,180,100,0.2,0.1,311730,1.2,1.08
,,r051,margarine (fat>=40%),130,60,..,..,311730,1.2,1.08
,,r052,margarine (fat<40%),50,30,..,..,311730,1.2,1.08
,,r053,olive oil -- cooking oil -- mayonnaise,90,60,..,..,311730,1.2,1.08
,,r054,fruit and berries,1640,470,1.3,0.3,311730,1.2,1.08
,,r055,apples,230,130,0.2,0.1,311730,1.2,1.08
,,r056,pears,50,30,..,..,311730,1.2,1.08
,,r057,bananas,380,120,0.3,0.1,311730,1.2,1.08
,,r058,citrus fruits,260,160,0.2,0.1,311730,1.2,1.08
,,r059,other fresh fruit,240,120,0.3,0.2,311730,1.2,1.08
,,r060,dried fruit,170,120,..,..,311730,1.2,1.08
,,r061,berries,140,100,..,..,311730,1.2,1.08
,,r062,preserved fruit and fruit based products,..,..,..,..,311730,1.2,1.08
,,r063,others fruit and berries,..,..,..,..,311730,1.2,1.08
,,r064,vegetables,2350,630,1.9,0.4,311730,1.2,1.08
,,r065,leaf and stem vegetables,230,90,0.2,0.1,311730,1.2,1.08
,,r066,cabbages -- fresh,90,60,..,..,311730,1.2,1.08
,,r067,vegetables cultivated for their fruit -- fresh ,820,300,0.6,0.2,311730,1.2,1.08
,,r068,onion -- leek -- fresh,130,70,..,..,311730,1.2,1.08
,,r069,mashrooms -- fresh,60,40,..,..,311730,1.2,1.08
,,r070,soups -- vegetabledishes,400,130,0.3,0.1,311730,1.2,1.08
,,r071,root crops,150,60,..,..,311730,1.2,1.08
,,r072,potatoes,200,100,..,..,311730,1.2,1.08
,,r073,products of potatoes (french fries -- mashed potatoes),250,140,0.2,0.1,311730,1.2,1.08
,,r074,vegetables - unspecified,..,..,..,..,311730,1.2,1.08
,,r075,sugar and sweets,1770,500,1.3,0.3,311730,1.2,1.08
,,r076,sugar -- jam -- honey -- chocolate and confectionery,110,60,..,..,311730,1.2,1.08
,,r077,jams -- marmelade,80,60,..,..,311730,1.2,1.08
,,r078,ice cream,250,110,0.2,0.1,311730,1.2,1.08
,,r079,other suger products,1330,410,1.0,0.3,311730,1.2,1.08
,,r080,sauces -- condiments,360,140,0.3,0.1,311730,1.2,1.08
,,r081,salt -- spices and culinary herbs,190,90,..,..,311730,1.2,1.08
,,r082,baby food -- dietary preparations -- baker´s yeast and other food preparations,240,80,0.2,0.1,311730,1.2,1.08
,,r083,snacks,290,150,0.2,0.1,311730,1.2,1.08
,,r084,unspec provisions,..,..,..,..,311730,1.2,1.08
,,r085,non alcoholic beverages,1850,440,1.5,0.3,311730,1.2,1.08
,,r086,fruit- and vegetable juices,480,190,0.4,0.2,311730,1.2,1.08
,,r087,soft drinks,600,210,0.4,0.1,311730,1.2,1.08
,,r088,mineral or spring waters,130,80,..,..,311730,1.2,1.08
,,r089,coffee,350,150,0.3,0.2,311730,1.2,1.08
,,r090,tee,250,180,0.2,0.1,311730,1.2,1.08
,,r091,cacao,..,..,..,..,311730,1.2,1.08
,,r092,dinner out,5870,1820,4.0,1.2,311730,1.2,1.08
,,r093,alcoholic beverages (with low-strength beer),1830,1050,1.2,0.6,311730,1.2,1.08
,,r094,tobacco ,1330,800,1.3,1.1,311730,1.2,1.08
,,r095,consumer goods,3920,1050,3.2,0.9,311730,1.2,1.08
,,r096,personal hygiene,2480,880,2.1,0.8,311730,1.2,1.08
,,r097,other consumption purposes,1440,400,1.1,0.3,311730,1.2,1.08
,,r098,domestic services,5070,1930,3.3,1.3,311730,1.2,1.08
,,r099,childminding,330,280,..,..,311730,1.2,1.08
,,r100,charge of skill -- other insurance,1630,620,1.1,0.4,311730,1.2,1.08
,,r101,other services,3110,1780,2.1,1.2,311730,1.2,1.08
,,r102,clothing and footwear,4290,2620,2.4,1.3,311730,1.2,1.08
,,r103,clothing,4020,2610,2.3,1.3,311730,1.2,1.08
,,r104, outdoor clothes,..,..,..,..,311730,1.2,1.08
,,r105,other clothes,2230,2190,1.2,1.0,311730,1.2,1.08
,,r106,underwear,440,310,0.3,0.2,311730,1.2,1.08
,,r107,accessoarer -- hats -- caps -- gloves etc.,350,300,..,..,311730,1.2,1.08
,,r108,footwear,280,220,..,..,311730,1.2,1.08
,,r109,housing,49260,6300,36.8,4.2,311730,1.2,1.08
,,r110,actual rentals for housing (incl. garage),32950,5250,26.9,4.6,311730,1.2,1.08
,,r111,reparations,..,..,..,..,311730,1.2,1.08
,,r112,householder´s comprehensive insurance,1210,280,0.9,0.2,311730,1.2,1.08
,,r113,services associates with housing ,1460,830,1.0,0.6,311730,1.2,1.08
,,r114,electicity -- gas and other fuels ,6050,2010,4.1,1.3,311730,1.2,1.08
,,r115,interests (gross),4630,2610,2.1,1.2,311730,1.2,1.08
,,r116,furnishings -- household equipment and routine maintenance of the house,3510,1830,2.2,1.0,311730,1.2,1.08
,,r117,furniture and furnishings -- carpets and other floor coverings,1620,1120,1.1,0.6,311730,1.2,1.08
,,r118,textile,..,..,..,..,311730,1.2,1.08
,,r119,household applience,1180,580,0.6,0.3,311730,1.2,1.08
,,r120,health and hospital services,1280,700,0.9,0.5,311730,1.2,1.08
,,r121,transport,16640,4870,11.1,2.4,311730,1.2,1.08
,,r122,purchase of new motor-cars,2730,2090,1.3,1.0,311730,1.2,1.08
,,r123,purchase of other vehicles,620,470,..,..,311730,1.2,1.08
,,r124,operation of motor-cars,8290,3320,4.6,1.5,311730,1.2,1.08
,,r125,interests (motorcars - gross) -- licence duty,770,280,0.5,0.2,311730,1.2,1.08
,,r126,operation of other vehicles,..,..,..,..,311730,1.2,1.08
,,r127,interests (other vehicles - gross) -- licence duty (other vehicles),..,..,..,..,311730,1.2,1.08
,,r128,services of transport,3900,1530,4.0,1.8,311730,1.2,1.08
,,r129,leisure time and culture,24040,5540,17.0,3.0,311730,1.2,1.08
,,r130,weekend cottage,..,..,..,..,311730,1.2,1.08
,,r131,radio and tv,960,510,0.8,0.4,311730,1.2,1.08
,,r132,sport and hobby,2090,1270,1.1,0.7,311730,1.2,1.08
,,r133,watch -- camera -- photographic and cinematographic equipment,..,..,..,..,311730,1.2,1.08
,,r134,holidays -- hotels,6490,3270,4.4,2.1,311730,1.2,1.08
,,r135,other spare time,3330,1290,2.5,0.9,311730,1.2,1.08
,,r136,entertainment,1060,610,0.9,0.5,311730,1.2,1.08
,,r137,books -- newspapers -- television taxes,5130,1120,3.7,0.7,311730,1.2,1.08
,,r138,mobiltelephone (callcharge and subscription fee),2020,620,1.6,0.5,311730,1.2,1.08
,,r139,telephone (callcharge and subscription fee),1550,550,1.4,0.5,311730,1.2,1.08
D2,decil 2,r001,total expenditures,148850,14210,100.0,0.0,388870,1.2,1.12
,,r002,food,19530,2570,13.7,1.6,388870,1.2,1.12
,,r003,bread and cereals,3650,660,2.7,0.5,388870,1.2,1.12
,,r004,rice and products of rice -- of which:,200,90,0.2,0.1,388870,1.2,1.12
,,r005,rice,100,60,..,..,388870,1.2,1.12
,,r006,products of rice,90,60,..,..,388870,1.2,1.12
,,r007,pasta products,420,250,0.3,0.2,388870,1.2,1.12
,,r008,flour -- grain,430,140,0.3,0.1,388870,1.2,1.12
,,r009,bread -- of which:,1410,240,1.0,0.2,388870,1.2,1.12
,,r010,hard bread,180,60,..,..,388870,1.2,1.12
,,r011,soft white bread,350,100,0.3,0.1,388870,1.2,1.12
,,r012,soft brown bread,310,90,0.2,0.1,388870,1.2,1.12
,,r013,soft light bread,410,110,0.3,0.1,388870,1.2,1.12
,,r014,bread unspecified,160,60,..,..,388870,1.2,1.12
,,r015,pastry-cook products,1200,290,1.0,0.3,388870,1.2,1.12
,,r016,meat,3780,980,2.6,0.6,388870,1.2,1.12
,,r017,fresh -- chilled or frozen meat of bovine animals,460,250,0.3,0.2,388870,1.2,1.12
,,r018,fresh -- chilled or frozen meat of pig,670,240,0.4,0.2,388870,1.2,1.12
,,r019,fresh -- chilled or frozen meat of sheep and goat,70,60,..,..,388870,1.2,1.12
,,r020,fresh -- chilled or frozen meat of poultry,350,150,0.2,0.1,388870,1.2,1.12
