Background,Dwelling Type ID,Dwelling Type Name,Age ID,Age Name,Gender ID,Gender Name,2012,2013,2014,2015,2016,2017,2018,2019,2020
,,,,,2,women,585,577,589,639,700,759,754,781,844
,,,,,4,men and women,1155,1145,1202,1289,1401,1586,1609,1635,1745
,,,065-69,65-69 years,1,men,394,414,451,508,548,616,594,613,639
,,,,,2,women,430,462,493,520,564,589,568,589,612
,,,,,4,men and women,824,876,944,1028,1112,1205,1162,1202,1251
,,,070-79,70-79 years,1,men,543,544,557,592,656,736,734,792,814
,,,,,2,women,671,675,702,716,763,850,822,843,859
,,,,,4,men and women,1214,1219,1259,1308,1419,1586,1556,1635,1673
,,,080+,80+ years,1,men,207,193,216,218,237,259,244,255,305
,,,,,2,women,377,404,428,443,476,517,499,525,540
,,,,,4,men and women,584,597,644,661,713,776,743,780,845
,FBBO,multi-dwelling buildings -- tenant-owned,0-9,-9 years,1,men,13539,14661,15868,17313,18812,20501,22337,24209,24704
,,,,,2,women,13105,13971,15069,16340,17741,19113,20872,22647,23140
,,,,,4,men and women,26644,28632,30937,33653,36553,39614,43209,46856,47844
,,,010-19,10-19 years,1,men,12010,12517,13141,13866,14751,16167,17547,18228,18738
,,,,,2,women,11893,12384,12961,13492,14267,15105,16168,17160,17648
,,,,,4,men and women,23903,24901,26102,27358,29018,31272,33715,35388,36386
,,,020-29,20-29 years,1,men,26094,27326,28920,30541,32508,34677,36871,39492,40096
,,,,,2,women,27666,29049,30359,31923,33956,35965,38006,39931,39764
,,,,,4,men and women,53760,56375,59279,62464,66464,70642,74877,79423,79860
,,,030-39,30-39 years,1,men,32934,35434,38305,41383,44964,48711,53109,57265,59303
,,,,,2,women,32455,34686,37576,40159,42954,46384,50452,54311,56480
,,,,,4,men and women,65389,70120,75881,81542,87918,95095,103561,111576,115783
,,,040-49,40-49 years,1,men,22315,23423,24774,25930,27636,29552,31627,34414,36471
,,,,,2,women,24402,25755,27075,28444,30085,31615,33441,35484,37300
,,,,,4,men and women,46717,49178,51849,54374,57721,61167,65068,69898,73771
,,,050-59,50-59 years,1,men,19320,20158,21181,22063,22899,23480,24597,25520,26119
,,,,,2,women,23949,24710,25682,26437,27566,28440,29585,30636,31297
,,,,,4,men and women,43269,44868,46863,48500,50465,51920,54182,56156,57416
,,,060-64,60-64 years,1,men,8330,8515,8953,9260,9873,10409,10889,11216,11569
,,,,,2,women,10887,11327,11695,12100,12469,13019,13378,13859,14363
,,,,,4,men and women,19217,19842,20648,21360,22342,23428,24267,25075,25932
,,,065-69,65-69 years,1,men,7152,7557,7991,8397,8565,8638,8859,9198,9470
,,,,,2,women,8857,9543,10295,10919,11164,11413,11785,12090,12421
,,,,,4,men and women,16009,17100,18286,19316,19729,20051,20644,21288,21891
,,,070-79,70-79 years,1,men,9832,10362,10868,11308,11874,12499,13051,13603,14011
,,,,,2,women,13425,13709,14080,14540,15293,15926,16643,17545,18339
,,,,,4,men and women,23257,24071,24948,25848,27167,28425,29694,31148,32350
,,,080+,80+ years,1,men,4032,4271,4548,4810,5127,5421,5814,6204,6556
,,,,,2,women,8735,9044,9429,9730,10048,10489,10780,11140,11346
,,,,,4,men and women,12767,13315,13977,14540,15175,15910,16594,17344,17902
,FBHY0,multi-dwelling buildings -- rented,0-9,-9 years,1,men,62003,66816,71442,76508,81049,85795,88960,90943,90101
,,,,,2,women,58544,63319,67739,71883,76392,81251,83964,85889,84966
,,,,,4,men and women,120547,130135,139181,148391,157441,167046,172924,176832,175067
