Background,Dwelling Type ID,Dwelling Type Name,Age ID,Age Name,Gender ID,Gender Name,2012,2013,2014,2015,2016,2017,2018,2019,2020
,,,,,4,men and women,155279,155999,159224,161921,163179,164257,163721,161878,160504
,,,060-64,60-64 years,1,men,36804,36040,35509,35535,35614,35387,35071,34997,34677
,,,,,2,women,42593,41165,40504,40526,40532,40555,40480,40357,40009
,,,,,4,men and women,79397,77205,76013,76061,76146,75942,75551,75354,74686
,,,065-69,65-69 years,1,men,36823,37091,36803,36293,35490,34728,34031,33313,33255
,,,,,2,women,46529,46756,46023,44977,43718,42548,41240,40522,40502
,,,,,4,men and women,83352,83847,82826,81270,79208,77276,75271,73835,73757
,,,070-79,70-79 years,1,men,48115,49823,52376,54917,56855,59068,60741,62146,62911
,,,,,2,women,74050,75518,78321,81145,83193,85344,87170,88120,88678
,,,,,4,men and women,122165,125341,130697,136062,140048,144412,147911,150266,151589
,,,080+,80+ years,1,men,35698,35123,34774,34543,34332,34092,34175,34661,34817
,,,,,2,women,76769,74880,73637,72051,70733,69409,68660,68679,68674
,,,,,4,men and women,112467,110003,108411,106594,105065,103501,102835,103340,103491
,SPBO,special housing,0-9,-9 years,1,men,454,469,498,514,561,552,579,489,502
,,,,,2,women,419,456,472,494,552,581,592,549,537
,,,,,4,men and women,873,925,970,1008,1113,1133,1171,1038,1039
,,,010-19,10-19 years,1,men,1213,1144,1149,988,1048,1004,997,991,1282
,,,,,2,women,1076,1074,1010,926,945,868,940,963,1228
,,,,,4,men and women,2289,2218,2159,1914,1993,1872,1937,1954,2510
,,,020-29,20-29 years,1,men,25370,26113,26634,27008,27320,26893,26559,25913,26321
,,,,,2,women,22265,22800,23563,24020,24548,24407,23899,23524,24064
,,,,,4,men and women,47635,48913,50197,51028,51868,51300,50458,49437,50385
,,,030-39,30-39 years,1,men,2798,2894,3077,3192,3444,3691,3960,4101,4315
,,,,,2,women,1589,1678,1818,1941,2096,2252,2377,2492,2654
,,,,,4,men and women,4387,4572,4895,5133,5540,5943,6337,6593,6969
,,,040-49,40-49 years,1,men,1911,1883,1895,1868,1860,1847,1807,1825,1902
,,,,,2,women,1313,1314,1318,1340,1355,1338,1292,1325,1332
,,,,,4,men and women,3224,3197,3213,3208,3215,3185,3099,3150,3234
,,,050-59,50-59 years,1,men,2344,2393,2446,2455,2534,2575,2551,2531,2546
,,,,,2,women,1521,1567,1645,1723,1746,1753,1791,1759,1801
,,,,,4,men and women,3865,3960,4091,4178,4280,4328,4342,4290,4347
,,,060-64,60-64 years,1,men,1384,1429,1485,1531,1571,1523,1470,1506,1473
,,,,,2,women,969,977,1004,1036,1079,1086,1116,1117,1037
,,,,,4,men and women,2353,2406,2489,2567,2650,2609,2586,2623,2510
,,,065-69,65-69 years,1,men,1716,1837,1981,1958,1941,1897,1890,1911,1920
,,,,,2,women,1366,1476,1583,1568,1505,1481,1457,1414,1463
,,,,,4,men and women,3082,3313,3564,3526,3446,3378,3347,3325,3383
,,,070-79,70-79 years,1,men,3998,4278,4709,5235,5541,5764,5891,6095,6107
,,,,,2,women,5362,5695,6190,6606,6854,7045,6976,7141,7269
,,,,,4,men and women,9360,9973,10899,11841,12395,12809,12867,13236,13376
,,,080+,80+ years,1,men,11044,11281,11799,12128,12409,11846,11532,11479,10870
,,,,,2,women,33519,33847,34823,35298,35154,33883,32571,31805,30094
,,,,,4,men and women,44563,45128,46622,47426,47563,45729,44103,43284,40964
,OB,other housing,0-9,-9 years,1,men,4003,4177,4240,4096,4088,3987,3970,3893,3744
,,,,,2,women,3686,3862,3833,3800,3882,3809,3826,3756,3595
,,,,,4,men and women,7689,8039,8073,7896,7970,7796,7796,7649,7339
,,,010-19,10-19 years,1,men,3224,3262,3270,3208,3363,3354,3386,3434,3393
,,,,,2,women,3340,3303,3226,3178,3193,3224,3257,3323,3348
,,,,,4,men and women,6564,6565,6496,6386,6556,6578,6643,6757,6741
,,,020-29,20-29 years,1,men,8245,8625,8569,8429,8125,7824,7746,7431,7157
,,,,,2,women,7900,8315,8445,8316,7999,7844,7596,7166,6902
,,,,,4,men and women,16145,16940,17014,16745,16124,15668,15342,14597,14059
,,,030-39,30-39 years,1,men,5335,5464,5351,5301,5479,5483,5654,5714,5764
,,,,,2,women,4400,4520,4505,4373,4459,4554,4733,4815,4900
,,,,,4,men and women,9735,9984,9856,9674,9938,10037,10387,10529,10664
,,,040-49,40-49 years,1,men,4900,4975,4885,4736,4638,4465,4392,4276,4096
,,,,,2,women,4599,4699,4591,4387,4407,4237,4046,3972,3926
,,,,,4,men and women,9499,9674,9476,9123,9045,8702,8438,8248,8022
,,,050-59,50-59 years,1,men,4811,4942,5034,5100,5116,5177,5124,5031,4980
,,,,,2,women,4908,4980,5064,5101,5170,5213,5148,5090,4944
,,,,,4,men and women,9719,9922,10098,10201,10286,10390,10272,10121,9924
,,,060-64,60-64 years,1,men,2591,2546,2530,2459,2461,2376,2346,2300,2288
,,,,,2,women,2541,2531,2476,2488,2464,2446,2385,2343,2235
,,,,,4,men and women,5132,5077,5006,4947,4925,4822,4731,4643,4523
,,,065-69,65-69 years,1,men,2618,2662,2650,2541,2447,2411,2329,2285,2206
,,,,,2,women,2870,2794,2727,2655,2628,2524,2409,2313,2247
,,,,,4,men and women,5488,5456,5377,5196,5075,4935,4738,4598,4453
,,,070-79,70-79 years,1,men,3588,3758,3925,4007,4215,4276,4369,4387,4380
,,,,,2,women,4948,5189,5366,5317,5459,5463,5491,5517,5407
,,,,,4,men and women,8536,8947,9291,9324,9674,9739,9860,9904,9787
,,,080+,80+ years,1,men,3112,3142,3084,3009,2964,2871,2830,2785,2691
,,,,,2,women,6303,6320,6140,5971,5878,5682,5406,5353,5128
,,,,,4,men and women,9415,9462,9224,8980,8842,8553,8236,8138,7819
