Region ID,Region,Metric ID,Metric,Decile ID,Decile,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,,,,D9,Decile 9,807.8,825.6,850.0,881.2,911.7,933.4,939.2,946.7,958.0,953.4
,,,,D10,Decile 10,..,..,..,..,..,..,..,..,..,..
,,DispInkInklEjke,disposable income including capital gains,D1,Decile 1,124.6,129.4,134.6,137.8,142.5,144.9,144.7,147.7,147.7,149.6
,,,,D2,Decile 2,151.6,156.9,162.6,165.7,170.7,173.6,174.3,179.7,180.6,185.0
,,,,D3,Decile 3,191.1,198.5,205.8,213.2,222.7,227.2,228.8,233.1,235.7,238.8
,,,,D4,Decile 4,238.6,246.1,254.5,263.4,274.1,279.4,281.3,285.1,287.7,291.2
,,,,D5,Decile 5,284.2,293.2,303.5,314.3,326.3,333.3,335.3,339.6,341.9,345.7
,,,,D6,Decile 6,341.5,352.1,365.0,379.0,395.8,403.0,406.2,408.9,412.5,416.0
,,,,D7,Decile 7,423.9,435.5,450.1,469.4,489.8,498.8,504.0,505.4,507.8,510.0
,,,,D8,Decile 8,530.9,545.1,560.1,585.0,607.9,616.8,622.6,624.7,628.8,630.8
,,,,D9,Decile 9,689.9,705.3,726.5,759.9,794.5,801.9,812.0,809.4,815.8,818.1
,,,,D10,Decile 10,..,..,..,..,..,..,..,..,..,..
,,DispInkExklEjke,disposable income excluding capital gains,D1,Decile 1,124.3,129.4,134.4,137.4,141.9,144.4,144.0,147.2,146.9,148.9
,,,,D2,Decile 2,150.9,156.4,162.1,164.6,169.1,172.2,172.6,178.2,178.9,183.6
,,,,D3,Decile 3,189.1,197.2,204.2,210.6,219.0,224.0,225.1,230.0,232.7,235.7
,,,,D4,Decile 4,236.3,244.6,252.5,260.6,269.9,275.7,276.9,281.3,284.2,287.5
,,,,D5,Decile 5,280.8,290.4,300.3,309.9,320.3,327.2,328.8,334.1,336.4,340.3
,,,,D6,Decile 6,336.2,347.9,359.8,372.3,385.8,393.1,394.5,399.3,403.5,407.4
,,,,D7,Decile 7,414.7,428.2,442.0,458.6,475.3,484.1,486.6,490.6,494.5,496.6
,,,,D8,Decile 8,517.8,534.4,549.7,569.2,587.2,596.3,598.4,604.2,609.3,612.7
,,,,D9,Decile 9,666.5,685.8,704.8,730.5,753.8,759.7,763.1,771.0,779.1,784.2
,,,,D10,Decile 10,..,..,..,..,..,..,..,..,..,..
